rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence,num_genes_associated_with_rxn
BILIRUBt2,bilirubin transport via bicarbonate countertransport,"Transport, extracellular",569,,SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * bilirubin(2-) [e] --> 1.00 * Bicarbonate [e] + 1.00 * bilirubin(2-) [c]
SLCO1B2",4.0,1
BPNT,"3',5'-bisphosphate nucleotidase",Nucleotide interconversion,574,3.1.3.7,BPNT1,"1.00 * Water [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * AMP [c]
BPNT1",4.0,1
BPNT2,"3',5'-bisphosphate nucleotidase (paps)",Nucleotide interconversion,575,3.1.3.7,BPNT1,"1.00 * Water [c] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 5'-adenylyl sulfate(2-) [c]
BPNT1",4.0,1
BTND1,biotinidase (biotin),Biotin metabolism,576,3.5.1.12,BTD,"1.00 * Water [c] + 1.00 * Biocytin [c] --> 1.00 * L-lysinium(1+) [c] + 1.00 * Biotin [c]
BTD",4.0,1
BTNDe,"biotinidase (biotin), extracellular",Biotin metabolism,578,3.5.1.12,BTD,"1.00 * Water [e] + 1.00 * Biocytin [e] --> 1.00 * L-lysinium(1+) [e] + 1.00 * Biotin [e]
BTD",4.0,1
BTNDm,"biotinidase (biotin), mitochondrial",Biotin metabolism,579,3.5.1.12,BTD,"1.00 * Water [m] + 1.00 * Biocytin [m] --> 1.00 * L-lysinium(1+) [m] + 1.00 * Biotin [m]
BTD",4.0,1
BTNPL,holocarboxylase synthestase (biotin protein ligase),Biotin metabolism,580,,HLCS,"1.00 * Apocarboxylase (Lys residue) [c] + 1.00 * Biotinyl-5'-AMP [c] --> 1.00 * proton [c] + 1.00 * AMP [c] + 1.00 * Holocarboxylase (biotin covalent bound to Lys residue of apoC) [c]
HLCS",4.0,1
BTNPLm,"holocarboxylase synthestase (biotin protein ligase), mitochondrial",Biotin metabolism,581,,HLCS,"1.00 * Apocarboxylase (Lys residue) [m] + 1.00 * Biotinyl-5'-AMP [m] --> 1.00 * proton [m] + 1.00 * AMP [m] + 1.00 * Holocarboxylase (biotin covalent bound to Lys residue of apoC) [m]
HLCS",4.0,1
BTNt2,Biotin reversible transport via proton symport,"Transport, extracellular",582,,SLC16A1,"1.00 * proton [e] + 1.00 * Biotin [e] --> 1.00 * proton [c] + 1.00 * Biotin [c]
SLC16A1",4.0,1
BTNt2m,"Biotin reversible transport via proton symport, mitochondria","Transport, mitochondrial",583,,SLC16A1,"1.00 * proton [c] + 1.00 * Biotin [c] --> 1.00 * proton [m] + 1.00 * Biotin [m]
SLC16A1",4.0,1
BTNt3i,Biotin transport via sodium symport,"Transport, extracellular",584,,SLC5A6,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * Sodium [e] + 1.00 * Biotin [e] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Sodium [c] + 1.00 * Biotin [c]
SLC5A6",4.0,1
BTNt4i,Biotin uptake (antiport),"Transport, extracellular",585,,SLC19A3,"1.00 * proton [c] + 1.00 * Biotin [e] --> 1.00 * proton [e] + 1.00 * Biotin [c]
SLC19A3",4.0,1
BUP2,beta-ureidopropionase (D-3-amino-isobutanoate forming),Pyrimidine catabolism,587,3.5.1.6,UPB1,"1.00 * Water [c] + 2.00 * proton [c] + 1.00 * 3-Ureidoisobutyrate [c] --> 1.00 * Ammonium [c] + 1.00 * carbon dioxide [c] + 1.00 * D-3-Amino-isobutanoate [c]
UPB1",4.0,1
BUTt2m,"Butyrate mitochondrial transport via proton symport, reversible","Transport, mitochondrial",588,,SLC16A1,"1.00 * proton [c] + 1.00 * butyrate [c] --> 1.00 * proton [m] + 1.00 * butyrate [m]
SLC16A1",0.0,1
BUTt2r,"Butyrate transport via proton symport, reversible","Transport, extracellular",589,,SLC16A1,"1.00 * proton [e] + 1.00 * butyrate [e] --> 1.00 * proton [c] + 1.00 * butyrate [c]
SLC16A1",4.0,1
C160CPT1,production of Palmitoylcarnitine,Fatty acid oxidation,594,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * L-palmitoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C160CPT2,C160 transport into the mitochondria,Fatty acid oxidation,595,2.3.1.21,CPT1A; CPT2,"1.00 * Coenzyme A [m] + 1.00 * L-palmitoylcarnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [m]
CPT1A; CPT2",4.0,2
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,596,,SLC25A20,"1.00 * L-palmitoylcarnitine [c] --> 1.00 * L-palmitoylcarnitine [m]
SLC25A20",4.0,1
C161CPT1,production of palmitoleoylcarnitine,Fatty acid oxidation,597,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * Hexadecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C161CPT12,carnitine O-palmitoyltransferase,Fatty acid oxidation,598,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * trans-Hexadec-2-enoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * trans-Hexadec-2-enoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C161CPT2,transport of Hexadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,599,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * Hexadecenoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [m]
CPT2",4.0,1
C161CPT22,C161 transport into the mitochondria,Fatty acid oxidation,600,2.3.1.21,CPT2,"1.00 * Coenzyme A [m] + 1.00 * trans-Hexadec-2-enoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * trans-Hexadec-2-enoyl-CoA [m]
CPT2",4.0,1
C161CRN2t,C161 transport into the mitochondria,Fatty acid oxidation,601,,SLC25A20,"1.00 * trans-Hexadec-2-enoyl carnitine [c] --> 1.00 * trans-Hexadec-2-enoyl carnitine [m]
SLC25A20",4.0,1
C161CRNt,C161 transport into the mitochondria,Fatty acid oxidation,602,,SLC25A20,"1.00 * Hexadecenoyl carnitine [c] --> 1.00 * Hexadecenoyl carnitine [m]
SLC25A20",4.0,1
C180CPT1,production of stearoylcarnitine,Fatty acid oxidation,603,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * stearoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C180CPT2,carnitine O-stearoyl transferase,Fatty acid oxidation,604,2.3.1.21,CPT2,"1.00 * Coenzyme A [m] + 1.00 * stearoylcarnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [m]
CPT2",4.0,1
C180CRNt,C180 transport into the mitochondria,Fatty acid oxidation,605,,SLC25A20,"1.00 * stearoylcarnitine [c] --> 1.00 * stearoylcarnitine [m]
SLC25A20",4.0,1
C181CPT1,transport of Octadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,606,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * octadecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C181CPT2,transport of Octadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,607,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * octadecenoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [m]
CPT2",4.0,1
C181CRNt,C181 transport into the mitochondria,Fatty acid oxidation,608,,SLC25A20,"1.00 * octadecenoyl carnitine [c] --> 1.00 * octadecenoyl carnitine [m]
SLC25A20",4.0,1
C204CPT1,carnitine C20:4 transferase,Fatty acid oxidation,609,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * arachidonoyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * C20:4 carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C204CPT2,arachidonic acid transport into the mitochondria,Fatty acid oxidation,610,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * C20:4 carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * arachidonoyl-CoA(4-) [m]
CPT2",4.0,1
C204CRNt,arachidonic acid transport into the mitochondria,Fatty acid oxidation,611,,SLC25A20,"1.00 * C20:4 carnitine [c] --> 1.00 * C20:4 carnitine [m]
SLC25A20",4.0,1
C226CPT1,carnitine C22:6 transferase,Fatty acid oxidation,613,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * cervonyl coenzyme A [c] --> 1.00 * Coenzyme A [c] + 1.00 * cervonyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C226CPT2,C226 transport into the mitochondria,Fatty acid oxidation,614,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * cervonyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * cervonyl coenzyme A [m]
CPT2",4.0,1
C2M26DCOAHLm,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m)",Limonene and pinene degradation,616,4.2.1.17,AUH; HADHA; HADHB,"1.00 * Water [m] + 1.00 * cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA [m] --> 1.00 * 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA [m]
AUH; HADHA; HADHB",1.0,3
CAATPS,Ca ATPase,"Transport, extracellular",624,3.6.3.6,ATP2B1; ATP2B2; ATP2B3; ATP2B4,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * calcium(2+) [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * proton [e] + 1.00 * calcium(2+) [e]
ATP2B1; ATP2B2; ATP2B3; ATP2B4",4.0,4
CAMPt,cAMP transport (ATP-dependent),"Transport, extracellular",625,,ABCC4; ABCC5,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 3',5'-cyclic AMP(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 3',5'-cyclic AMP(1-) [e]
ABCC4; ABCC5",4.0,2
CAt7r,"calcium / sodium antiporter (1:3), reversible","Transport, extracellular",629,,SLC8A1; SLC8A2; SLC8A3,"3.00 * Sodium [e] + 1.00 * calcium(2+) [c] --> 3.00 * Sodium [c] + 1.00 * calcium(2+) [e]
SLC8A1; SLC8A2; SLC8A3",4.0,3
CATm,catalase,ROS detoxification,630,1.11.1.6,CAT,"2.00 * Hydrogen peroxide [m] --> 1.00 * O2 [m] + 2.00 * Water [m]
CAT",4.0,1
CBL2tm,"Cob(II)alamine transport, mitochondrial","Transport, mitochondrial",633,,MMAA,"1.00 * Cob(II)alamin [c] --> 1.00 * Cob(II)alamin [m]
MMAA",2.0,1
CBLATm,"cob(I)alamin adenosyltransferase, mitochondrial",Vitamin B12 metabolism,634,2.5.1.17,MMAA,"1.00 * proton [m] + 1.00 * ATP [m] + 1.00 * Cob(I)alamin [m] --> 1.00 * Adenosylcobalamin [m] + 1.00 * triphosphate(5-) [m]
MMAA",4.0,1
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine synthesis,636,,CAD,"1.00 * Water [c] + 2.00 * ATP [c] + 1.00 * Bicarbonate [c] + 1.00 * L-glutamine [c] --> 2.00 * ADP [c] + 2.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * L-glutamate(1-) [c] + 1.00 * Carbamoyl phosphate [c]
CAD",4.0,1
CBPSam,carbamoyl-phosphate synthase (ammonia) (mitochondria,Glutamate metabolism,637,6.3.4.16,CPS1,"2.00 * ATP [m] + 1.00 * Bicarbonate [m] + 1.00 * Ammonium [m] --> 2.00 * proton [m] + 2.00 * ADP [m] + 1.00 * hydrogenphosphate [m] + 1.00 * Carbamoyl phosphate [m]
CPS1",4.0,1
CBR1,Carbonyl reductase [NADPH] 1,Eicosanoid metabolism,639,1.1.1.197,CBR1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 15-dehydro-prostaglandin E1(1-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin E1(1-) [c]
CBR1",4.0,1
CBR2,Carbonyl reductase [NADPH] 1,Eicosanoid metabolism,640,1.1.1.197,CBR1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * prostaglandin E2(1-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin F2alpha(1-) [c]
CBR1",4.0,1
CDIPTr,phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid metabolism,643,2.7.8.11,CDIPT,"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * myo-inositol [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c]
CDIPT",4.0,1
CDS,phosphatidate cytidylyltransferase,Glycerophospholipid metabolism,645,2.7.7.41,CDS1; CDS2,"1.00 * proton [c] + 1.00 * phosphatidate(2-) [c] + 1.00 * CTP [c] --> 1.00 * Diphosphate [c] + 1.00 * CDP-diacylglycerol(2-) [c]
CDS1; CDS2",4.0,2
CDSm,phosphatidate cytidylyltransferase,Glycerophospholipid metabolism,646,2.7.7.41,CDS1; CDS2,"1.00 * proton [m] + 1.00 * CTP [m] + 1.00 * phosphatidate(2-) [m] --> 1.00 * Diphosphate [m] + 1.00 * CDP-diacylglycerol(2-) [m]
CDS1; CDS2",4.0,2
CEPTC,choline phosphotransferase,Glycerophospholipid metabolism,647,,CEPT1; CHPT1,"1.00 * CDPcholine [c] + 1.00 * diglyceride [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * Phosphatidylcholine [c]
CEPT1; CHPT1",4.0,2
CEPTE,ethanolamine phosphotransferase,Glycerophospholipid metabolism,648,,CEPT1,"1.00 * CDP-ethanolamine(1-) [c] + 1.00 * diglyceride [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * phosphatidylethanolamine [c]
CEPT1",4.0,1
CERK,Ceramide kinase,Sphingolipid metabolism,649,2.7.1.138,CERK,"1.00 * ATP [c] + 1.00 * N-acylsphingosine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * ceramide 1-phosphate(2-) [c]
CERK",4.0,1
CGLYt3_2_,Cys-Gly transport in via proton symport,"Transport, extracellular",654,,SLC15A2,"2.00 * proton [e] + 1.00 * L-cysteinylglycine [e] --> 2.00 * proton [c] + 1.00 * L-cysteinylglycine [c]
SLC15A2",2.0,1
CGMPt,cGMP transport (ATP-dependent),"Transport, extracellular",655,,ABCC4; ABCC5,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 3',5'-cyclic GMP(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 3',5'-cyclic GMP(1-) [e]
ABCC4; ABCC5",4.0,2
CHAT,Choline O-acetyltransferase,Glycerophospholipid metabolism,657,2.3.1.6,CHAT,"1.00 * Acetyl-CoA [c] + 1.00 * Choline [c] --> 1.00 * Coenzyme A [c] + 1.00 * acetylcholine [c]
CHAT",4.0,1
CHLP,choline phosphate phosphatase,Glycerophospholipid metabolism,659,2.7.7.15,PHOSPHO1,"1.00 * Water [c] + 1.00 * choline phosphate(1-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * Choline [c]
PHOSPHO1",0.0,1
CHLPCTD,choline phosphate cytididyltransferase,Glycerophospholipid metabolism,660,2.7.7.15,PCYT1A; PCYT1B,"1.00 * proton [c] + 1.00 * CTP [c] + 1.00 * choline phosphate(1-) [c] --> 1.00 * Diphosphate [c] + 1.00 * CDPcholine [c]
PCYT1A; PCYT1B",4.0,2
CHOLATEt,cholate transport via bicarbonate countertransport,"Transport, extracellular",662,,SLCO1A1; SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * Cholate [e] --> 1.00 * Bicarbonate [e] + 1.00 * Cholate [c]
SLCO1A1; SLCO1B2",4.0,2
CHOLATEt2,cholate transport via sodium cotransport,"Transport, extracellular",663,,SLC10A1; SLC10A2,"2.00 * Sodium [e] + 1.00 * Cholate [e] --> 2.00 * Sodium [c] + 1.00 * Cholate [c]
SLC10A1; SLC10A2",4.0,2
CHOLATEt3,ABC bile acid transporter,"Transport, extracellular",664,,ABCB11; ABCC3,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * Cholate [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Cholate [e]
ABCB11; ABCC3",4.0,2
CHOLD2m,"choline dehydrogenase (FAD acceptor), mitochondrial","Glycine, serine, alanine and threonine metabolism",665,1.1.99.1,CHDH,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Choline [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * betaine aldehyde [m]
CHDH",4.0,1
CHOLK,Choline kinase,Glycerophospholipid metabolism,666,,CHKA; CHKB,"1.00 * ATP [c] + 1.00 * Choline [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * choline phosphate(1-) [c]
CHKA; CHKB",4.0,2
CHOLt4,"choline, sodium cotransport","Transport, extracellular",669,,SLC5A7,"1.00 * Sodium [e] + 1.00 * Choline [e] --> 1.00 * Sodium [c] + 1.00 * Choline [c]
SLC5A7",4.0,1
CHOLtu,Choline uniport,"Transport, extracellular",673,,SLC22A2; SLC22A5,"1.00 * Choline [e] --> 1.00 * Choline [c]
SLC22A2; SLC22A5",4.0,2
CHSTEROLSULT,steroid sulfotransferase,Steroid metabolism,674,2.8.2.2,SULT1A1; SULT2B1,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * cholesterol [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * cholesterol sulfate [c]
SULT1A1; SULT2B1",4.0,2
CHSTEROLt,cholesterol efflux (ATP depedent),"Transport, extracellular",675,,ABCA1; ABCG5; ABCG8,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * cholesterol [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * cholesterol [e]
ABCA1; ABCG5; ABCG8",4.0,3
CHTNASE,chitinase,Aminosugar metabolism,680,3.2.1.14,CHIL5; CHIT1; MANSC1,"2.00 * Water [c] + 1.00 * chitin [c] --> 3.00 * N-acetyl-D-glucosamine [c]
CHIL5; CHIT1; MANSC1",4.0,3
CHTNASEe,"chitinase, extracellular",Aminosugar metabolism,681,3.2.1.14,CHIL5,"2.00 * Water [e] + 1.00 * chitin [e] --> 3.00 * N-acetyl-D-glucosamine [e]
CHIL5",4.0,1
CITL,Citrate lyase,Citric acid cycle,682,4.1.3.6,CLYBL,"1.00 * Citrate [c] --> 1.00 * acetate [c] + 1.00 * Oxaloacetate [c]
CLYBL",0.0,1
CITRtm,citrulline mitochondrial transport via proton antiport,"Transport, mitochondrial",685,,SLC25A2,"1.00 * L-citrulline [m] --> 1.00 * L-citrulline [c]
SLC25A2",4.0,1
CITt4_2,citrate transport via sodium symport,"Transport, extracellular",686,,SLC13A2,"2.00 * Sodium [e] + 1.00 * Citrate [e] --> 2.00 * Sodium [c] + 1.00 * Citrate [c]
SLC13A2",4.0,1
CITtam,"citrate transport, mitochondrial","Transport, mitochondrial",687,,SLC25A1,"1.00 * Citrate [c] + 1.00 * (S)-malate(2-) [m] --> 1.00 * Citrate [m] + 1.00 * (S)-malate(2-) [c]
SLC25A1",4.0,1
CITtbm,"citrate transport, mitochondrial","Transport, mitochondrial",688,,SLC25A1,"1.00 * Citrate [c] + 1.00 * Phosphoenolpyruvate [m] --> 1.00 * Phosphoenolpyruvate [c] + 1.00 * Citrate [m]
SLC25A1",4.0,1
CK,ATP Creatine kinase,Urea cycle,689,2.7.3.2,CKMT1; CKMT2,"1.00 * ATP [m] + 1.00 * creatine [m] --> 1.00 * ADP [m] + 1.00 * N-phosphocreatinate(2-) [m]
CKMT1; CKMT2",4.0,2
CKc,ATP Creatine kinase (c),Urea cycle,690,2.7.3.2,CKB; CKM,"1.00 * ATP [c] + 1.00 * creatine [c] --> 1.00 * ADP [c] + 1.00 * N-phosphocreatinate(2-) [c]
CKB; CKM",4.0,2
CLFORtex,chloride transport via formate countertransport,"Transport, extracellular",691,,SLC26A4,"1.00 * Chloride [e] + 2.00 * Formate [c] --> 1.00 * Chloride [c] + 2.00 * Formate [e]
SLC26A4",2.0,1
CLHCO3tex2,chloride transport via bicarbonate countertransport (2:1),"Transport, extracellular",692,,SLC26A6,"1.00 * Bicarbonate [c] + 2.00 * Chloride [e] --> 1.00 * Bicarbonate [e] + 2.00 * Chloride [c]
SLC26A6",2.0,1
CLI2tex,chloride transport via iodide countertransport,"Transport, extracellular",693,,SLC26A4,"1.00 * Chloride [e] + 2.00 * iodide [c] --> 1.00 * Chloride [c] + 2.00 * iodide [e]
SLC26A4",2.0,1
CLOHtex2,chloride transport via hydroxide countertransport (2:1),"Transport, extracellular",694,,SLC26A6,"1.00 * Water [c] + 2.00 * Chloride [e] --> 1.00 * Water [e] + 2.00 * Chloride [c]
SLC26A6",2.0,1
CLOXAtex2,chloride transport via oxalate countertransport (2:1),"Transport, extracellular",695,,SLC26A6,"2.00 * Chloride [e] + 1.00 * oxalate(2-) [c] --> 2.00 * Chloride [c] + 1.00 * oxalate(2-) [e]
SLC26A6",2.0,1
CLPNDCPT1,carnitine O-palmitoyltransferase,Fatty acid oxidation,697,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * clupanodonyl CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * clupanodonyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
CLPNDCPT2,carnitine transferase,Fatty acid oxidation,698,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * clupanodonyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * clupanodonyl CoA [m]
CPT2",4.0,1
CLPNDCRNt,transport into the mitochondria (carnitine),Fatty acid oxidation,699,,SLC25A20,"1.00 * clupanodonyl carnitine [c] --> 1.00 * clupanodonyl carnitine [m]
SLC25A20",4.0,1
CLS_hs,cardiolipin synthase (homo sapiens),Glycerophospholipid metabolism,701,,CRLS1,"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * phosphatidylglycerol(1-) [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * cardiolipin [c]
CRLS1",0.0,1
CMPSAS,CMP sialic acid synthase,Aminosugar metabolism,704,2.7.7.43,CMAS,"1.00 * N-acetylneuraminate [c] + 1.00 * CTP [c] --> 1.00 * Diphosphate [c] + 1.00 * CMP-N-acetyl-beta-neuraminate(2-) [c]
CMAS",2.0,1
COAtm,CoA transporter,"Transport, mitochondrial",714,,SLC25A16,"1.00 * Coenzyme A [c] --> 1.00 * Coenzyme A [m]
SLC25A16",4.0,1
COQ3m,methyltransferase COQ3,Ubiquinone synthesis,719,,COQ3,"1.00 * S-Adenosyl-L-methionine [m] + 1.00 * 2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [m] --> 1.00 * proton [m] + 1.00 * S-Adenosyl-L-homocysteine [m] + 1.00 * ubiquinone-10 [m]
COQ3",4.0,1
COQ6m,Ubiquinone biosynthesis monooxgenase COQ6,Ubiquinone synthesis,721,,COQ6,"1.00 * O2 [m] + 1.00 * 2-Decaprenyl-6-methoxyphenol [m] --> 1.00 * Water [m] + 1.00 * 2-decaprenyl-6-methoxy-1,4-benzoquinone [m]
COQ6",4.0,1
COQ7m,Ubiquinone biosynthesis COQ7,Ubiquinone synthesis,722,,COQ7,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * O2 [m] + 1.00 * 2-decaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [m] --> 1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 2-decaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [m]
COQ7",4.0,1
CPCTDTX,choline-phosphate cytidylyltransferase,Glycerophospholipid metabolism,733,2.7.7.15,PCYT1A; PCYT1B,"1.00 * proton [c] + 1.00 * CTP [c] + 1.00 * N-Trimethyl-2-aminoethylphosphonate [c] --> 1.00 * Diphosphate [c] + 1.00 * CMP-N-trimethyl-2-aminoethylphosphonate [c]
PCYT1A; PCYT1B",4.0,2
CPPPGO,coproporphyrinogen oxidase (O2 required),Heme synthesis,734,1.3.3.3,CPOX,"1.00 * O2 [c] + 2.00 * proton [c] + 1.00 * Coproporphyrinogen III [c] --> 2.00 * Water [c] + 2.00 * carbon dioxide [c] + 1.00 * Protoporphyrinogen IX [c]
CPOX",2.0,1
CREATt4_2_r,Creatine transport (sodium symport) (2:1),"Transport, extracellular",735,,SLC6A8,"2.00 * Sodium [e] + 1.00 * creatine [e] --> 2.00 * Sodium [c] + 1.00 * creatine [c]
SLC6A8",4.0,1
CRNt,L-carnitine reversible transport,"Transport, extracellular",740,,SLC22A5,"1.00 * L-Carnitine [e] --> 1.00 * L-Carnitine [c]
SLC22A5",4.0,1
CRNtHa,L-carnitine outward transport (H+ antiport),"Transport, extracellular",741,,SLC22A4,"1.00 * proton [e] + 1.00 * L-Carnitine [c] --> 1.00 * proton [c] + 1.00 * L-Carnitine [e]
SLC22A4",4.0,1
CRNtim,L-carnitine transport out of mitochondria via diffusion,"Transport, mitochondrial",742,,SLC25A20,"1.00 * L-Carnitine [m] --> 1.00 * L-Carnitine [c]
SLC25A20",4.0,1
CRNtuNa,L-carnitine inward transport by Na+ symport,"Transport, extracellular",743,,SLC22A5,"1.00 * Sodium [e] + 1.00 * L-Carnitine [e] --> 1.00 * Sodium [c] + 1.00 * L-Carnitine [c]
SLC22A5",4.0,1
CSm,citrate synthase,Citric acid cycle,758,4.1.3.7,CSL,"1.00 * Water [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Oxaloacetate [m] --> 1.00 * proton [m] + 1.00 * Coenzyme A [m] + 1.00 * Citrate [m]
CSL",0.0,1
CSNAT2m,"carnitine O-aceyltransferase, mitochondrial",Fatty acid oxidation,759,2.3.1.7,CRAT,"1.00 * Coenzyme A [m] + 1.00 * propionyl-carnitine [m] --> 1.00 * Propanoyl-CoA [m] + 1.00 * L-Carnitine [m]
CRAT",4.0,1
