metabolite_id,metabolite_no_compartment,compartment,metabolite_name,degree,kegg_id,hmdb_id
dad_2[e],dad_2,[e],2-deoxyadenosine,4,C00559,HMDB00101
din[e],din,[e],Deoxyinosine,4,C05512,HMDB00071
dag_hs[n],dag_hs,[n],diglyceride,4,NA,NA
dag_hs[e],dag_hs,[e],diglyceride,4,NA,NA
dd2coa[m],dd2coa,[m],trans-Dodec-2-enoyl-CoA,4,C03221,HMDB03712
dcsptn1coa[m],dcsptn1coa,[m],"docosa-4,7,10,13,16-pentaenoyl coenzyme A",4,C16173,HMDB06513
tag_hs[c],tag_hs,[c],triglyceride,4,NA,NA
dgmp[c],dgmp,[c],dGMP,4,C00362,HMDB01044
zymstnl[r],zymstnl,[r],5alpha-cholest-8-en-3beta-ol,4,C03845,HMDB06841
chlstol[r],chlstol,[r],"5alpha-cholesta-7,24-dien-3beta-ol",4,C05439,HMDB06842
dhcrm_hs[c],dhcrm_hs,[c],dihydroceramide,4,NA,NA
dhea[c],dhea,[c],3beta-hydroxyandrost-5-en-17-one,4,C01227,HMDB00077
dhf[m],dhf,[m],"7,8-Dihydrofolate",4,C00415,HMDB01056
orot[c],orot,[c],Orotate,4,C00295,HMDB00226
56dthm[c],56dthm,[c],"5,6-dihydrothymine",4,C00906,HMDB00079
sprm[c],sprm,[c],spermine(4+),4,C00750,HMDB01256
dnad[c],dnad,[c],Deamino-NAD+,4,C00857,HMDB01179
g3m8masn[r],g3m8masn,[r],(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,C05873,NA
dpcoa[c],dpcoa,[c],Dephospho-CoA,4,C00882,HMDB01373
dtdp[n],dtdp,[n],dTDP,4,C00363,HMDB01274
glc1man[g],glc1man,[g],"glucose-1,3-mannose oligosaccharide",4,C04147,NA
m6masnC[g],m6masnC,[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,NA,NA
m6masnB2[g],m6masnB2,[g],(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,NA,NA
m5masnB1[g],m5masnB1,[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,NA,NA
etha[c],etha,[c],etha[c],4,C00189,HMDB00149
cmp[e],cmp,[e],CMP,4,C00055,HMDB00095
fe3[e],fe3,[e],Fe3+,4,C14819,HMDB12943
fru[e],fru,[e],D-Fructose,4,C02336,HMDB00660
inost[e],inost,[e],myo-inositol,4,C00137,HMDB00211
ksi[e],ksi,[e],keratan sulfate I,4,NA,NA
lcts[e],lcts,[e],Lactose,4,C00243,HMDB00186
lgnc[e],lgnc,[e],lignocerate,4,C08320,HMDB02003
lnlc[e],lnlc,[e],linoleate,4,C01595,HMDB00673
lpchol_hs[e],lpchol_hs,[e],lysophosphatidylcholine,4,NA,NA
mag_hs[e],mag_hs,[e],monoacylglycerol 2,4,NA,NA
nac[e],nac,[e],Nicotinate,4,C00253,HMDB01488
ocdca[e],ocdca,[e],octadecanoate (n-C18:0),4,C01530,HMDB00827
pe_hs[e],pe_hs,[e],phosphatidylethanolamine,4,NA,NA
Rtotal3[e],Rtotal3,[e],R total 3 position,4,NA,NA
s2l2fn2m2masn[e],s2l2fn2m2masn,[e],PA6,4,NA,NA
tag_hs[e],tag_hs,[e],triglyceride,4,NA,NA
thymd[e],thymd,[e],Thymidine,4,C00214,HMDB00273
ttdca[e],ttdca,[e],tetradecanoate (n-C14:0),4,C06424,HMDB00806
udp[e],udp,[e],UDP,4,C00015,HMDB00295
urate[e],urate,[e],Urate,4,C00366,HMDB00289
urea[e],urea,[e],Urea,4,C00086,HMDB00294
utp[e],utp,[e],UTP,4,C00075,HMDB00285
gdpfuc[c],gdpfuc,[c],GDP-L-fucose(2-),4,C00325,HMDB01095
n2m2masn[g],n2m2masn,[g],((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),4,C11530,NA
ddca[c],ddca,[c],laurate,4,C02679,HMDB00638
ptdcacoa[m],ptdcacoa,[m],pentadecanoyl Coenzyme A,4,NA,HMDB06499
lnlncgcoa[x],lnlncgcoa,[x],gamma-linolenoyl-CoA(4-),4,C03035,HMDB06368
strdnccoa[x],strdnccoa,[x],stearidonyl coenzyme A,4,C16163,HMDB06519
tmndnccoa[m],tmndnccoa,[m],timnodonyl coenzyme A,4,NA,HMDB06514
tmndnccoa[x],tmndnccoa,[x],timnodonyl coenzyme A,4,NA,HMDB06514
nrvnccoa[x],nrvnccoa,[x],nervonyl coenzyme A,4,C16532,NA
fdp[c],fdp,[c],"D-Fructose 1,6-bisphosphate",4,C00354,HMDB01058
for[r],for,[r],Formate,4,C00058,HMDB00142
frdp[r],frdp,[r],Farnesyl diphosphate,4,C00448,HMDB00961
1pyr5c[c],1pyr5c,[c],1-Pyrroline-5-carboxylate,4,C04322,HMDB01301
6pgl[c],6pgl,[c],"6-phospho-D-glucono-1,5-lactone",4,C01236,HMDB01127
galside_hs[g],galside_hs,[g],D-galactosyl-N-acylsphingosine,4,NA,NA
gd3_hs[g],gd3_hs,[g],GD3,4,NA,NA
galside_hs[c],galside_hs,[c],D-galactosyl-N-acylsphingosine,4,NA,NA
gam[c],gam,[c],D-Glucosamine,4,C00329,HMDB01514
glyclt[c],glyclt,[c],glycolate,4,C00160,HMDB00115
ser_L[m],ser_L,[m],L-serine,4,C00065,HMDB00187
cs_c_d_e_pre1[g],cs_c_d_e_pre1,[g],"chondroitin sulfate C (GalNAc6S-GlcA) and D (GlcNAc6S-GlcA2S), precursor 1",4,NA,NA
glygn3[c],glygn3,[c],"glycogen, structure 3 (glycogenin-7[1,4-Glc])",4,NA,NA
glx[c],glx,[c],glyoxylate,4,C00048,HMDB00119
glyc_R[c],glyc_R,[c],D-glycerate,4,C00258,HMDB00139
m3gacpail_hs[r],m3gacpail_hs,[r],trimannosyl-glucosaminyl-acylphosphatidylinositol (H4),4,NA,NA
hmgcoa[m],hmgcoa,[m],Hydroxymethylglutaryl-CoA,4,C00356,HMDB01375
pheme[c],pheme,[c],Protoheme,4,C00032,HMDB03178
phyt2ohcoa[x],phyt2ohcoa,[x],2-hydroxyphytanoyl-CoA(4-),4,C07343,HMDB01295
prgnlone[r],prgnlone,[r],pregnenolone,4,C01953,HMDB00253
pyam5p[c],pyam5p,[c],Pyridoxamine 5'-phosphate,4,C00647,HMDB01555
pydam[c],pydam,[c],Pyridoxamine,4,C00534,HMDB01431
ile_L[m],ile_L,[m],L-isoleucine,4,C00407,HMDB00172
anth[c],anth,[c],anthranilate,4,C00108,HMDB01123
lac_L[m],lac_L,[m],(S)-lactate,4,C00186,HMDB00190
leu_L[m],leu_L,[m],L-leucine,4,C00123,HMDB00687
cs_c_deg5[l],cs_c_deg5,[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5",4,NA,NA
lipoate[c],lipoate,[c],lipoate,4,C16241,HMDB01451
mag_hs[c],mag_hs,[c],monoacylglycerol 2,4,NA,NA
retfa[c],retfa,[c],fatty acid retinol,4,NA,NA
pd3[c],pd3,[c],Previtamin D3,4,C07711,HMDB06500
m4masn[g],m4masn,[g],(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),4,C05881,NA
tcynt[c],tcynt,[c],thiocyanate,4,C01755,HMDB01453
mescoa[m],mescoa,[m],Mesaconyl-CoA,4,C06028,NA
mi13456p[c],mi13456p,[c],"myo-inositol 1,3,4,5,6-pentakisphosphate(10-)",4,C01284,HMDB03529
mi134p[c],mi134p,[c],"1D-myo-inositol 1,3,4-trisphosphate(6-)",4,C01243,HMDB01143
mmcoa_S[m],mmcoa_S,[m],(S)-methylmalonyl-CoA(5-),4,C00683,HMDB02310
udp[l],udp,[l],UDP,4,C00015,HMDB00295
udpacgal[l],udpacgal,[l],UDP-N-acetyl-D-galactosamine(2-),4,C00203,HMDB00304
xoltetrol[m],xoltetrol,[m],"5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol",4,C05446,HMDB01231
thcholstoic[m],thcholstoic,[m],"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",4,C04722,HMDB03873
xol7ah2[m],xol7ah2,[m],"5beta-cholestane-3alpha,7alpha-diol",4,C05452,HMDB06893
xol7ah3[m],xol7ah3,[m],"5beta-cholestane-3alpha,7alpha,26-triol",4,C05444,HMDB12455
xol7ah2al[m],xol7ah2al,[m],"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al",4,C05445,HMDB06894
xol27oh[m],xol27oh,[m],26-hydroxycholesterol,4,C15610,HMDB02103
pa_hs[r],pa_hs,[r],phosphatidate(2-),4,NA,NA
pa_hs[g],pa_hs,[g],phosphatidate(2-),4,NA,NA
pchol_hs[m],pchol_hs,[m],Phosphatidylcholine,4,NA,NA
pchol_hs[r],pchol_hs,[r],Phosphatidylcholine,4,NA,NA
pdx5p[c],pdx5p,[c],Pyridoxine 5'-phosphate,4,C00627,HMDB01319
pydxn[c],pydxn,[c],Pyridoxine,4,C00314,HMDB00239
prostgd2[r],prostgd2,[r],prostaglandin D2(1-),4,C00696,HMDB01403
pail345p_hs[n],pail345p_hs,[n],"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)",4,NA,NA
pail34p_hs[c],pail34p_hs,[c],"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)",4,NA,NA
pail_hs[r],pail_hs,[r],1-phosphatidyl-1D-myo-inositol(1-),4,NA,NA
4ppcys[c],4ppcys,[c],N-((R)-4-Phosphopantothenoyl)-L-cysteine,4,C04352,HMDB01117
retinal_cis_13[c],retinal_cis_13,[c],13-cis-retinal,4,C00376,HMDB06220
retinal_11_cis[c],retinal_11_cis,[c],11-cis-retinal,4,C02110,HMDB02152
retinal_cis_9[c],retinal_cis_9,[c],all-trans-retinal,4,C00376,HMDB01358
rib_D[c],rib_D,[c],D-ribose,4,C00121,HMDB00283
acngalgbside_hs[g],acngalgbside_hs,[g],sialyl galactosylgloboside,4,NA,NA
sphings[c],sphings,[c],sphingosine(1+),4,C00319,HMDB00252
sphs1p[c],sphs1p,[c],sphingosine 1-phosphate(1-),4,C06124,HMDB00277
gd1a_hs[g],gd1a_hs,[g],N-acetylneuraminosyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminosyl)-D-galactosyl-D-glucosylceramide dianion,4,NA,NA
s7p[c],s7p,[c],Sedoheptulose 7-phosphate,4,C05382,HMDB01068
thmmp[c],thmmp,[c],Thiamin monophosphate,4,C01081,HMDB02666
thmpp[m],thmpp,[m],Thiamine diphosphate,4,C00068,HMDB01372
tststerone[c],tststerone,[c],testosterone,4,C00535,HMDB00234
tym[c],tym,[c],tyraminium,4,C00483,HMDB00306
tyr_L[m],tyr_L,[m],L-tyrosine,4,C00082,HMDB00158
uppg3[c],uppg3,[c],Uroporphyrinogen III,4,C01051,HMDB01086
val_L[m],val_L,[m],L-valine,4,C00183,HMDB00883
xan[x],xan,[x],Xanthine,4,C00385,HMDB00292
xoltri27[c],xoltri27,[c],"7alpha,26-dihydroxycholesterol",4,C06341,HMDB06281
xylt[c],xylt,[c],xylitol,4,C00379,HMDB02917
HC00250[c],HC00250,[c],hydrosulfide,4,C00283,HMDB03276
HC01161[c],HC01161,[c],Apo-ACP,4,NA,NA
HC10859[c],HC10859,[c],Malonyl-Carnitin,4,NA,NA
lnlccoa[x],lnlccoa,[x],linoleic coenzyme A,4,C02050,HMDB01064
arachdcoa[r],arachdcoa,[r],arachidonoyl-CoA(4-),4,C02249,HMDB06523
mev_R[c],mev_R,[c],(R)-mevalonate,4,C00418,HMDB00227
pan4p[m],pan4p,[m],Pantetheine 4'-phosphate,4,C01134,HMDB01416
4hpro_LT[c],4hpro_LT,[c],trans-4-hydroxy-L-proline,4,C01157,HMDB00725
4hpro_LT[m],4hpro_LT,[m],trans-4-hydroxy-L-proline,4,C01157,HMDB00725
C02470[c],C02470,[c],Xanthurenic acid,4,C02470,HMDB00881
dd2coa[x],dd2coa,[x],trans-Dodec-2-enoyl-CoA,4,C03221,HMDB03712
xol7ah2al[c],xol7ah2al,[c],"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al",4,C05445,HMDB06894
dhcholestanate[c],dhcholestanate,[c],"3alpha,7alpha-Dihydroxy-5beta-cholestanate",4,C04554,HMDB00359
HC00004[c],HC00004,[c],ApoA1,4,NA,NA
strdnc[r],strdnc,[r],"stearidonic acid C18:4, n-3",4,C16300,HMDB06547
lnlc[r],lnlc,[r],linoleate,4,C01595,HMDB00673
met_L[m],met_L,[m],L-methionine,4,C00073,HMDB00696
odecoa[r],odecoa,[r],Octadecenoyl-CoA (n-C18:1CoA),4,C00510,HMDB01322
lnlncg[r],lnlncg,[r],gamma-linolenate,4,C06426,HMDB03073
dlnlcgcoa[r],dlnlcgcoa,[r],dihomo-gamma-linolenyl coenzyme A,4,C03595,NA
HC02220[c],HC02220,[c],sulfochenodeoxycholate,4,NA,NA
HC02194[c],HC02194,[c],ursodeoxycholate,4,NA,NA
HC02197[c],HC02197,[c],sulfoglycolithocholate(2-),4,NA,NA
N1aspmd[c],N1aspmd,[c],N(1)-acetylspermidinium(2+),4,C00612,HMDB01276
CE2432[m],CE2432,[m],"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA",4,NA,NA
CE1272[c],CE1272,[c],"5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol",4,NA,HMDB00655
CE4990[c],CE4990,[c],12-oxo-leukotriene B4,4,C05949,HMDB04234
CE1617[r],CE1617,[r],9-cis-retinoate,4,C15493,HMDB02369
retinal_cis_13[r],retinal_cis_13,[r],13-cis-retinal,4,C00376,HMDB06220
CE1617[c],CE1617,[c],9-cis-retinoate,4,C15493,HMDB02369
C09642[c],C09642,[c],(-)-Salsolinol,4,C09642,HMDB05199
no2[c],no2,[c],Nitrite,4,C00088,HMDB02786
CE5786[e],CE5786,[e],kinetensin,4,NA,HMDB12988
CE4872[c],CE4872,[c],"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al",4,NA,NA
CE2567[c],CE2567,[c],"5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion",4,NA,NA
CE4849[c],CE4849,[c],"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",4,NA,NA
CE4849[r],CE4849,[r],"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",4,NA,NA
C04805[c],C04805,[c],5(S)-HETE,4,C04805,HMDB11134
CE7079[c],CE7079,[c],leukotriene A5,4,NA,NA
C04849[c],C04849,[c],"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",4,C04849,NA
adpcoa[x],adpcoa,[x],adipoylcoa,4,C14143,HMDB04047
c12dccoa[x],c12dccoa,[x],dodecanedioylcoa,4,NA,NA
c4crn[c],c4crn,[c],butyryl carnitine,4,C02862,HMDB02013
dece3coa[m],dece3coa,[m],3-decenoylcoa,4,NA,HMDB02137
sebcoa[x],sebcoa,[x],sebacoylcoa,4,NA,NA
sbcoa[x],sbcoa,[x],suberylcoa,4,NA,NA
4hpro_LT[e],4hpro_LT,[e],trans-4-hydroxy-L-proline,4,C01157,HMDB00725
bglc[e],bglc,[e],beta-glucans,4,NA,NA
gum[e],gum,[e],gums,4,NA,NA
pect[e],pect,[e],pectins,4,NA,NA
psyl[e],psyl,[e],psyllium,4,NA,NA
dpcoa[e],dpcoa,[e],Dephospho-CoA,4,C00882,HMDB01373
pan4p[e],pan4p,[e],Pantetheine 4'-phosphate,4,C01134,HMDB01416
10fthf5glu[l],10fthf5glu,[l],10-formyltetrahydrofolate-[Glu](5),3,NA,NA
10fthf5glu[m],10fthf5glu,[m],10-formyltetrahydrofolate-[Glu](5),3,NA,NA
10fthf6glu[l],10fthf6glu,[l],10-formyltetrahydrofolate-[Glu](6),3,NA,NA
10fthf6glu[m],10fthf6glu,[m],10-formyltetrahydrofolate-[Glu](6),3,NA,NA
10fthf7glu[c],10fthf7glu,[c],10-formyltetrahydrofolate-[Glu](7),3,NA,NA
11docrtstrn[m],11docrtstrn,[m],11-deoxycorticosterone,3,C03205,HMDB00016
2425dhvitd2[m],2425dhvitd2,[m],"24R,25-Dihyoxyvitamin D2",3,NA,NA
2425dhvitd3[c],2425dhvitd3,[c],"(24R)-24,25-dihydroxycalciol",3,NA,NA
25hvitd2[e],25hvitd2,[e],25-Hydroxyvitamin D2,3,NA,HMDB01438
25hvitd3[e],25hvitd3,[e],calcidiol,3,C01561,HMDB03550
drib[c],drib,[c],2-deoxy-D-ribose,3,C01801,HMDB03224
2oxoadp[c],2oxoadp,[c],2-oxoadipate(2-),3,C00322,HMDB00225
34dhpha[c],34dhpha,[c],"(3,4-dihydroxyphenyl)acetate",3,C01161,HMDB01336
34dhphe[e],34dhphe,[e],L-dopa,3,C00355,HMDB00181
34hpp[c],34hpp,[c],3-(4-hydroxyphenyl)pyruvate,3,C01179,HMDB00707
3dphb[m],3dphb,[m],3-Decaprenyl-4-hydroxybenzoate,3,NA,HMDB06251
3dpdhb[m],3dpdhb,[m],"3-Decaprenyl-4,5-dihdydroxybenzoate",3,NA,NA
cmusa[c],cmusa,[c],"cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate",3,C04409,HMDB01330
3hmp[m],3hmp,[m],3-hydroxy-2-methylpropanoate,3,C06001,HMDB00023
3mob[c],3mob,[c],3-methyl-2-oxobutanoate,3,C00141,HMDB00019
3mop[c],3mop,[c],3-methyl-2-oxopentanoate,3,C03465,HMDB00491
3m4hpga[c],3m4hpga,[c],3-Methoxy-4-hydroxyphenylglycolaldehyde,3,C05583,HMDB04061
3moxtyr[c],3moxtyr,[c],3-Methoxytyramine,3,C05587,HMDB00022
adn[l],adn,[l],Adenosine,3,C00212,HMDB00050
4hphac[c],4hphac,[c],4-hydroxyphenylacetate,3,C00642,HMDB00020
4mptnl[c],4mptnl,[c],4-methylpentanal,3,C02373,HMDB01318
4nph[c],4nph,[c],4-nitrophenolate,3,C00870,HMDB01232
4nph[e],4nph,[e],4-nitrophenolate,3,C00870,HMDB01232
5adtststerones[c],5adtststerones,[c],5alpha-Dihydrotestosterone sulfate,3,NA,HMDB06278
5aop[m],5aop,[m],5-Amino-4-oxopentanoate,3,C00430,HMDB01149
5dhf[c],5dhf,[c],pentaglutamyl folate (DHF),3,NA,HMDB06487
5dhf[l],5dhf,[l],pentaglutamyl folate (DHF),3,NA,HMDB06487
5hoxindoa[c],5hoxindoa,[c],5-Hydroxyindoleacetate,3,C05635,HMDB00763
5thf[l],5thf,[l],pentaglutamyl folate (THF),3,NA,NA
5thf[m],5thf,[m],pentaglutamyl folate (THF),3,NA,NA
6dhf[l],6dhf,[l],hexaglutamyl folate (DHF),3,NA,HMDB06563
6dhf[m],6dhf,[m],hexaglutamyl folate (DHF),3,NA,HMDB06563
6thf[l],6thf,[l],hexaglutamyl folate  (THF),3,NA,HMDB06563
6thf[m],6thf,[m],hexaglutamyl folate  (THF),3,NA,HMDB06563
7dhchsterol[r],7dhchsterol,[r],"cholesta-5,7-dien-3beta-ol",3,C01164,HMDB00032
7dhchsterol[c],7dhchsterol,[c],"cholesta-5,7-dien-3beta-ol",3,C01164,HMDB00032
7dhf[c],7dhf,[c],heptaglutamyl folate (DHF),3,NA,NA
7thf[c],7thf,[c],heptaglutamyl folate (THF),3,NA,NA
man[l],man,[l],D-Mannose,3,C00159,HMDB00169
galgluside_hs[c],galgluside_hs,[c],galactosyl glucosyl ceramide,3,NA,NA
thcrm_hs[g],thcrm_hs,[g],trihexosyl ceramide,3,NA,NA
core2[g],core2,[g],Core 2,3,NA,NA
aacoa[c],aacoa,[c],Acetoacetyl-CoA,3,C00332,HMDB01484
sucsal[m],sucsal,[m],Succinic semialdehyde,3,C00232,HMDB01259
abt[c],abt,[c],L-arabinitol,3,C00532,HMDB01851
aacoa[x],aacoa,[x],Acetoacetyl-CoA,3,C00332,HMDB01484
accoa[g],accoa,[g],Acetyl-CoA,3,C00024,HMDB01206
accoa[n],accoa,[n],Acetyl-CoA,3,C00024,HMDB01206
acetone[e],acetone,[e],acetone,3,C00207,HMDB01659
acetone[c],acetone,[c],acetone,3,C00207,HMDB01659
acetone[m],acetone,[m],acetone,3,C00207,HMDB01659
acgal1p[c],acgal1p,[c],N-Acetyl-D-galactosamine 1-phosphate,3,NA,HMDB06480
hdd2coa[x],hdd2coa,[x],trans-Hexadec-2-enoyl-CoA,3,C05272,HMDB03945
acrn[m],acrn,[m],O-acetylcarnitine,3,C02571,HMDB00201
ade[e],ade,[e],Adenine,3,C00147,HMDB00034
adhap_hs[x],adhap_hs,[x],acyl-dihydroxyacetone phosphate,3,NA,NA
camp[c],camp,[c],"3',5'-cyclic AMP(1-)",3,C00575,HMDB00058
adn[m],adn,[m],Adenosine,3,C00212,HMDB00050
adprib[c],adprib,[c],ADPribose,3,C00301,HMDB01178
adprib[e],adprib,[e],ADPribose,3,C00301,HMDB01178
adrn[e],adrn,[e],adrenic acid,3,C16527,HMDB02226
adrn[c],adrn,[c],adrenic acid,3,C16527,HMDB02226
aps[c],aps,[c],5'-adenylyl sulfate(2-),3,C00224,HMDB01003
aicar[c],aicar,[c],5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,3,C04677,HMDB01517
ak2g_hs[c],ak2g_hs,[c],1-alkyl 2-acylglycerol,3,NA,NA
cdpea[c],cdpea,[c],CDP-ethanolamine(1-),3,C00570,HMDB01564
akgp_hs[c],akgp_hs,[c],O-alkylglycerone phosphate(2-),3,NA,NA
urea[m],urea,[m],Urea,3,C00086,HMDB00294
ak2lgchol_hs[e],ak2lgchol_hs,[e],1-alkyl 2-lysoglycerol 3-phosphocholine,3,C04317,NA
prgstrn[c],prgstrn,[c],progesterone,3,C00410,HMDB01830
xol7ah[c],xol7ah,[c],7alpha-hydroxy-5beta-cholestan-3-one,3,C05451,HMDB06892
xoldioloneh[c],xoldioloneh,[c],"7alpha,12alpha-dihydroxy-5beta-cholestan-3-one",3,C05453,HMDB06887
xoldiolone[c],xoldiolone,[c],"7alpha,12alpha-Dihydroxycholest-4-en-3-one",3,C17339,HMDB02197
12ppd_R[c],12ppd_R,[c],"(R)-propane-1,2-diol",3,C00583,HMDB01881
lald_L[c],lald_L,[c],(S)-lactaldehyde,3,C00424,HMDB03052
prist[c],prist,[c],pristanic acid,3,NA,HMDB00795
15HPET[c],15HPET,[c],15(S)-HPETE(1-),3,C05966,HMDB04244
dhcholestancoa[r],dhcholestancoa,[r],"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",3,C04644,HMDB02159
cholcoar[r],cholcoar,[r],"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA(4-)",3,C05448,HMDB02178
strch2[e],strch2,[e],"starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})",3,NA,NA
glygn4[e],glygn4,[e],"glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",3,NA,NA
andrstrn[c],andrstrn,[c],androsterone,3,C00523,HMDB00031
ala_B[m],ala_B,[m],beta-alanine,3,C00099,HMDB00056
msa[m],msa,[m],3-oxopropanoate,3,C00222,HMDB11111
biocyt[c],biocyt,[c],Biocytin,3,C05552,HMDB03134
arachcoa[m],arachcoa,[m],arachidyl coenzyme A,3,C02041,HMDB04258
Rtotalcoa[m],Rtotalcoa,[m],R total Coenzyme A,3,NA,NA
sphings[l],sphings,[l],sphingosine(1+),3,C00319,HMDB00252
Asn_X_Ser_Thr[r],Asn_X_Ser_Thr,[r],protein-linked asparagine residue (N-glycosylation site),3,NA,NA
cbp[c],cbp,[c],Carbamoyl phosphate,3,C00169,HMDB01096
cbasp[c],cbasp,[c],N-Carbamoyl-L-aspartate,3,C00438,HMDB00828
asp_D[e],asp_D,[e],D-aspartate(1-),3,C00402,HMDB06483
asp_D[c],asp_D,[c],D-aspartate(1-),3,C00402,HMDB06483
avite1[e],avite1,[e],(+)-alpha-tocopherol,3,C02477,HMDB01893
ga2_hs[g],ga2_hs,[g],GA2,3,NA,NA
acglcgalgluside_hs[g],acglcgalgluside_hs,[g],N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide,3,NA,NA
gluside_hs[g],gluside_hs,[g],D-glucosyl-N-acylsphingosine,3,NA,NA
tchola[x],tchola,[x],taurocholate,3,NA,HMDB00036
dgchol[x],dgchol,[x],glycochenodeoxycholate,3,C05466,HMDB00637
btn[m],btn,[m],Biotin,3,C00120,HMDB00030
bilglcur[r],bilglcur,[r],mono(glucosyluronic acid)bilirubin(2-),3,NA,NA
3aib_D[c],3aib_D,[c],D-3-Amino-isobutanoate,3,C01205,HMDB02299
44mctr[r],44mctr,[r],"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",3,C11455,HMDB01023
pmtcrn[m],pmtcrn,[m],L-palmitoylcarnitine,3,C02990,HMDB00222
4mzym_int1[r],4mzym_int1,[r],4-Methylzymosterol intermediate 1,3,C15808,HMDB06927
zym_int2[r],zym_int2,[r],zymosterol intermediate 2,3,C05437,HMDB06271
cbl2[c],cbl2,[c],Cob(II)alamin,3,C00541,HMDB06316
cbp[m],cbp,[m],Carbamoyl phosphate,3,C00169,HMDB01096
crm_hs[g],crm_hs,[g],N-acylsphingosine,3,NA,NA
crm_hs[r],crm_hs,[r],N-acylsphingosine,3,NA,NA
xol25oh[r],xol25oh,[r],25-hydroxycholesterol,3,C15519,HMDB06247
chol[m],chol,[m],Choline,3,C00114,HMDB00097
chtn[e],chtn,[e],chitin,3,NA,NA
itaccoa[m],itaccoa,[m],itaconyl-CoA(5-),3,C00531,HMDB03377
citmcoa_L[m],citmcoa_L,[m],(3S)-citramalyl-CoA(5-),3,C01011,HMDB06345
pcreat[c],pcreat,[c],N-phosphocreatinate(2-),3,C02305,HMDB01511
clpndcoa[x],clpndcoa,[x],clupanodonyl CoA,3,C16166,HMDB06267
coa[g],coa,[g],Coenzyme A,3,C00010,HMDB01423
coa[l],coa,[l],Coenzyme A,3,C00010,HMDB01423
cpppg3[c],cpppg3,[c],Coproporphyrinogen III,3,C03263,HMDB01261
creat[e],creat,[e],creatine,3,C00300,HMDB00064
pcrn[x],pcrn,[x],propionyl-carnitine,3,C03017,HMDB00824
acrn[x],acrn,[x],O-acetylcarnitine,3,C02571,HMDB00201
dmnoncrn[x],dmnoncrn,[x],"4,8-dimethylnonanoyl carnitine",3,NA,HMDB06202
dmnoncrn[m],dmnoncrn,[m],"4,8-dimethylnonanoyl carnitine",3,NA,HMDB06202
crtsl[m],crtsl,[m],cortisol,3,C00735,HMDB00063
crtstrn[c],crtstrn,[c],corticosterone,3,C02140,HMDB01547
crvnc[e],crvnc,[e],"cervonic acid, C22:6 n-3",3,C06429,HMDB02183
crvnc[c],crvnc,[c],"cervonic acid, C22:6 n-3",3,C06429,HMDB02183
cs_a[l],cs_a,[l],"chondroitin sulfate A (GalNAc4S-GlcA), free chain",3,NA,NA
cs_b[l],cs_b,[l],"chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), free chain",3,NA,NA
cs_c[l],cs_c,[l],"chondroitin sulfate C (GalNAc6S-GlcA), free chain",3,NA,NA
cs_d[l],cs_d,[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain",3,NA,NA
cs_e[l],cs_e,[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain",3,NA,NA
