reaction_no_direction,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
G14T16g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 32 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 33 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T17g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 35 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 36 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T18g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","2.00 * UDP-D-galactose(2-) [g] + 1.00 * Core 4 [g] --> 2.00 * proton [g] + 2.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 1 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T19g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 3 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 4 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T20g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 6 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 7 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T21g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 9 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 10 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T2g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 1 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 2 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T3g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 3 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 4 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T4g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 6 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 7 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T5g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate II biosynthesis, precursor 9 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate II biosynthesis, precursor 10 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T6g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 2 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 3 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T7g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 5 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 6 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T8g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 8 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 9 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14T9g,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi","1.00 * UDP-D-galactose(2-) [g] + 1.00 * keratan sulfate I biosynthesis, precursor 11 [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * keratan sulfate I biosynthesis, precursor 12 [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,Keratan sulfate synthesis,2.4.1.38,4
G14Tg,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase","2.00 * UDP-D-galactose(2-) [g] + 1.00 * N4-{N-Acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl}asparagine [g] --> 2.00 * proton [g] + 2.00 * UDP [g] + 1.00 * {[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine [g]
B4GALT1; B4GALT2; B4GALT3; B4GALT5",B4GALT1; B4GALT2; B4GALT3; B4GALT5,N-glycan synthesis,2.4.1.38,4
G16MT_L,"Glycolipid 1,6-alpha-D-mannosyltransferase (liver)","1.00 * GDP-alpha-D-mannose(2-) [c] + 0.10 * alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human liver homolog [c] --> 1.00 * proton [c] + 1.00 * GDP [c] + 0.10 * (alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human liver homolog [c]
No genes",NA,N-glycan synthesis,N/A,0
G16MT_U,"Glycolipid 1,6-alpha-D-mannosyltransferase (uterus)","1.00 * GDP-alpha-D-mannose(2-) [c] + 0.10 * alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human uterine homolog [c] --> 1.00 * proton [c] + 1.00 * GDP [c] + 0.10 * (alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog [c]
No genes",NA,N-glycan synthesis,N/A,0
G1M6MASNB1terg,g1m6masnB1 endoplasmic reticulum to Golgi transport,"1.00 * glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [r] --> 1.00 * glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G1M7MASNBterg,g1m7masnC endoplasmic reticulum to Golgi transport,"1.00 * glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein) [r] --> 1.00 * glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G1M7MASNCterg,g1m7masnC endoplasmic reticulum to Golgi transport,"1.00 * glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein) [r] --> 1.00 * glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G1M8MASNterg,g1m8masn transport from endoplasmic reticulum to Golgi apparatus,"1.00 * (alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [r] --> 1.00 * (alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G1PTT,glucose-1-phosphate thymidylyltransferase,"1.00 * proton [c] + 1.00 * D-Glucose 1-phosphate [c] + 1.00 * dTTP [c] --> 1.00 * Diphosphate [c] + 1.00 * dTDP-glucose(2-) [c]
No genes",NA,Nucleotide sugar metabolism,2.7.7.24,2
G2M8MASNterg,g2m8masn transport from endoplasmic reticulum to Golgi apparatus,"1.00 * (alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [r] --> 1.00 * (alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G3M8MASNterg,g3m8masn transport from endoplasmic reticulum to Golgi apparatus,"1.00 * (alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [r] --> 1.00 * (alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) [g]
No genes",NA,N-glycan synthesis,N/A,0
G3PD1,glycerol-3-phosphate dehydrogenase (NAD),"1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * Glycerol 3-phosphate [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * Dihydroxyacetone phosphate [c]
GPD1",GPD1,Glycerophospholipid metabolism,1.1.1.94,4
G3PD2m,"glycerol-3-phosphate dehydrogenase (FAD), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Glycerol 3-phosphate [c] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Dihydroxyacetone phosphate [c]
GPD2",GPD2,Glycolysis/gluconeogenesis,1.1.99.5,2
G5SADrm,"L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial","1.00 * L-Glutamate 5-semialdehyde [m] --> 1.00 * proton [m] + 1.00 * Water [m] + 1.00 * 1-Pyrroline-5-carboxylate [m]
No genes",NA,Arginine and Proline Metabolism,N/A,4
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),"1.00 * L-Glutamate 5-semialdehyde [c] --> 1.00 * Water [c] + 1.00 * proton [c] + 1.00 * 1-Pyrroline-5-carboxylate [c]
No genes",NA,Urea cycle,N/A,2
G5SDym,glutamate-5-semialdehyde dehydrogenase (m),"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * L-Glutamate 5-phosphate [m] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * hydrogenphosphate [m] + 1.00 * L-Glutamate 5-semialdehyde [m]
ALDH18A1",ALDH18A1,Urea cycle,1.2.1.41,2
G6PDA,glucosamine-6-phosphate deaminase,"1.00 * Water [c] + 1.00 * D-Glucosamine 6-phosphate [c] --> 1.00 * Ammonium [c] + 1.00 * D-Fructose 6-phosphate [c]
GNPDA1; GNPDA2",GNPDA1; GNPDA2,Aminosugar metabolism,3.5.99.6,4
G6PDH1rer,"glucose-6-phosphate dehydrogenase, endoplasmic reticulum","1.00 * Nicotinamide adenine dinucleotide [r] + 1.00 * D-Glucose 6-phosphate [r] --> 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide - reduced [r] + 1.00 * 6-phospho-D-glucono-1,5-lactone [r]
H6PD",H6PD,Pentose phosphate pathway,1.1.1.47,4
G6PDH2r,glucose 6-phosphate dehydrogenase,"1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * D-Glucose 6-phosphate [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 6-phospho-D-glucono-1,5-lactone [c]
G6PD2",G6PD2,Pentose phosphate pathway,1.1.1.49,0
G6PDH2rer,"glucose 6-phosphate dehydrogenase, endoplasmic reticulum","1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * D-Glucose 6-phosphate [r] --> 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * 6-phospho-D-glucono-1,5-lactone [r]
G6PD2; H6PD",G6PD2; H6PD,Pentose phosphate pathway,1.1.1.47,4
G6PPer,"glucose-6-phosphate phosphatase, edoplasmic reticular","1.00 * Water [r] + 1.00 * D-Glucose 6-phosphate [r] --> 1.00 * D-glucose [r] + 1.00 * hydrogenphosphate [r]
G6PC; G6PC2; G6PC3",G6PC; G6PC2; G6PC3,Glycolysis/gluconeogenesis,3.1.3.9,4
G6Pter,glucose 6-phosphate endoplasmic reticular transport via diffusion,"1.00 * D-Glucose 6-phosphate [c] --> 1.00 * D-Glucose 6-phosphate [r]
SLC37A4",SLC37A4,"Transport, endoplasmic reticular",N/A,4
GABAVESSEC,GABA secretion via secretory vesicle (ATP driven),"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 4-Aminobutanoate [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 4-Aminobutanoate [e]
SLC32A1",SLC32A1,"Transport, extracellular",N/A,4
GACMTRc,guanidinoacetate N-methyltransferase (c),"1.00 * S-Adenosyl-L-methionine [c] + 1.00 * guanidinoacetic acid [c] --> 1.00 * proton [c] + 1.00 * S-Adenosyl-L-homocysteine [c] + 1.00 * creatine [c]
GAMT",GAMT,Urea cycle,2.1.1.2,4
GACPAILter,glucosaminyl-acylphosphatidylinositol ER flippase,"1.00 * glucosaminyl-acylphosphatidylinositol [c] --> 1.00 * glucosaminyl-acylphosphatidylinositol [r]
No genes",NA,"Transport, endoplasmic reticular",N/A,0
GAL3ST11,Galactosylceramide sulfotransferase,"1.00 * D-galactosyl-N-acylsphingosine [g] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [g] --> 1.00 * proton [g] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [g] + 1.00 * sulfatide galactocerebroside [g]
GAL3ST1",GAL3ST1,Sphingolipid metabolism,2.8.2.11,4
GAL3ST12,Galactosylceramide sulfotransferase,"1.00 * Digalactosylceramide [g] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [g] --> 1.00 * proton [g] + 1.00 * Digalactosylceramidesulfate [g] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [g]
GAL3ST1",GAL3ST1,Sphingolipid metabolism,2.8.2.11,4
GALACGLCGALGBSIDEte,galacglcgalgbside hs transport,"1.00 * Gal-GlcNAc-Gal globoside [c] --> 1.00 * Gal-GlcNAc-Gal globoside [e]
No genes",NA,"Transport, extracellular",N/A,1
GALACGLCGALGBSIDEtg,galacglcgalgbside hs intracellular transport,"1.00 * Gal-GlcNAc-Gal globoside [c] --> 1.00 * Gal-GlcNAc-Gal globoside [g]
No genes",NA,"Transport, golgi apparatus",N/A,1
GALASE10ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 26 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 27 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE11ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 29 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 30 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE12ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 32 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 33 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE13ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 35 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 36 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE14ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 38 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 39 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE15ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 40 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 41 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE16ly,"beta-galactosidase, lysosomal","2.00 * Water [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 2 [l] --> 2.00 * D-Galactose [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 3 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE17ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 5 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 6 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE18ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 8 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate II (core 2-linked), degradation product 9 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE19ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * F1alpha [l] --> 1.00 * D-Galactose [l] + 1.00 * Core 6 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.18,4
GALASE1ly,"beta-galactosidase, lysosomal","2.00 * Water [l] + 1.00 * de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage) [l] --> 1.00 * de-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage) [l] + 2.00 * D-Galactose [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,N-glycan degradation,3.2.1.23,4
GALASE20ly,"beta-galactosidase, lysosomal","2.00 * Water [l] + 1.00 * keratan sulfate II (core 4-linked), degradation product 2 [l] --> 2.00 * D-Galactose [l] + 1.00 * keratan sulfate II (core 4-linked), degradation product 3 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE3ly,"beta-galactosidase, lysosomal","2.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 5 [l] --> 2.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 6 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE4ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 8 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 9 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE5ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 11 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 12 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE6ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 14 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 15 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE7ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 17 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 18 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE8ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 20 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 21 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALASE9ly,"beta-galactosidase, lysosomal","1.00 * Water [l] + 1.00 * keratan sulfate I, degradation product 23 [l] --> 1.00 * D-Galactose [l] + 1.00 * keratan sulfate I, degradation product 24 [l]
CTSA; GALNS; GLB1; NEU1",CTSA; GALNS; GLB1; NEU1,Keratan sulfate degradation,3.2.1.23,4
GALC,Galactocerebrosidase,"1.00 * Water [l] + 1.00 * D-galactosyl-N-acylsphingosine [l] --> 1.00 * N-acylsphingosine [l] + 1.00 * D-Galactose [l]
GALC",GALC,Sphingolipid metabolism,3.2.1.46,4
GALFUC12GAL14ACGLCGALGLUSIDEte,blood group intracellular transport,"1.00 * (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 [e] --> 1.00 * (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 [c]
No genes",NA,"Transport, extracellular",N/A,2
GALFUC12GAL14ACGLCGALGLUSIDEtg,blood group intracellular transport,"1.00 * (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 [g] --> 1.00 * (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1 [c]
No genes",NA,"Transport, golgi apparatus",N/A,2
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,blood group intracellular transport,"1.00 * (Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 [e] --> 1.00 * (Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 [c]
No genes",NA,"Transport, extracellular",N/A,2
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,blood group intracellular transport,"1.00 * (Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 [g] --> 1.00 * (Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1 [c]
No genes",NA,"Transport, golgi apparatus",N/A,2
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,blood group intracellular transport,"1.00 * (Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 [e] --> 1.00 * (Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 [c]
No genes",NA,"Transport, extracellular",N/A,2
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,blood group intracellular transport,"1.00 * (Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 [g] --> 1.00 * (Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1 [c]
No genes",NA,"Transport, golgi apparatus",N/A,2
GALGALGALTHCRMte,galgalgalthcrm hs transport,"1.00 * Gal-Gal-Gal-Gal-Gal-Glc-Cer [c] --> 1.00 * Gal-Gal-Gal-Gal-Gal-Glc-Cer [e]
No genes",NA,"Transport, extracellular",N/A,1
GALGALGALTHCRMtg,galgalgalthcrm hs intracellular transport,"1.00 * Gal-Gal-Gal-Gal-Gal-Glc-Cer [c] --> 1.00 * Gal-Gal-Gal-Gal-Gal-Glc-Cer [g]
No genes",NA,"Transport, golgi apparatus",N/A,1
GALGLUSIDEtg,galgluside hs intracellular transport,"1.00 * galactosyl glucosyl ceramide [c] --> 1.00 * galactosyl glucosyl ceramide [g]
No genes",NA,"Transport, golgi apparatus",N/A,1
GALGLUSIDEtl,galgluside hs intracellular transport,"1.00 * galactosyl glucosyl ceramide [c] --> 1.00 * galactosyl glucosyl ceramide [l]
No genes",NA,"Transport, lysosomal",N/A,1
GALGT1,"Beta-1,4 N-acetylgalactosaminyltransferase","1.00 * galactosyl glucosyl ceramide [g] + 1.00 * UDP-N-acetyl-D-galactosamine(2-) [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * GA2 [g]
B4GALNT1",B4GALNT1,Sphingolipid metabolism,2.4.1.92,4
GALGT2,"Beta-1,4 N-acetylgalactosaminyltransferase","1.00 * UDP-N-acetyl-D-galactosamine(2-) [g] + 1.00 * alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide(1-) [g] --> 1.00 * proton [g] + 1.00 * UDP [g] + 1.00 * N-acetyl-beta-D-galactosaminyl-(1->4)-[alpha-N-acetylneuraminosyl-(2->3)]-beta-D-galactosyl-beta-D-glucosyl-(1<->1)-ceramide anion [g]
B4GALNT1",B4GALNT1,Sphingolipid metabolism,2.4.1.92,4
