ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE_ASSOCIATION (SYMBOL),LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
MAR03260,,"H2O[m] + trans,cis-myristo-2,7-dienoyl-CoA[m] => cis-(3S)-hydroxytetradec-7-enoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/RE2920M;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),,,PMID:9568246;PMID:7923814;PMID:9920399;PMID:10407780,0
MAR03262,,cis-(3S)-hydroxytetradec-7-enoyl-CoA[m] + NAD+[m] => 3-oxomyrist-7-enoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/RE2909M;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),,,PMID:8319713;PMID:11427448;PMID:9920399;PMID:7923814,0
MAR03264,,3-oxomyrist-7-enoyl-CoA[m] + CoA[m] => (5Z)-dodecenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3264;vmhreaction/RE2917M;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),,,PMID:9920399;PMID:9568246;PMID:7923814,0
MAR03272,3-cis-Dodecenoyl-CoA delta3-cis-delta2-trans-isomerase,(2E)-dodecenoyl-CoA[m] <=> (5Z)-dodecenoyl-CoA[m],5.3.3.8;5.3.3.-,ENSG00000104823 or ENSG00000167969 or ENSG00000198721,ECH1 or ECI1 or ECI2,,,,,kegg.reaction/R04100;bigg.reaction/DCIm;vmhreaction/HMR_3272;metanetx.reaction/MNXR108657;metanetx.reaction/MNXR97183;rhea/23716;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),,,PMID:8486162,0
MAR03356,,"(13Z)-eicosenoyl-CoA[x] + FAD[x] => FADH2[x] + trans,cis-2,13-eicosadienoyl-CoA[x]",1.3.3.6,ENSG00000087008 or ENSG00000161533,ACOX3 or ACOX1,,,,,vmhreaction/HMR_3356;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03357,,"H2O[x] + trans,cis-2,13-eicosadienoyl-CoA[x] => 3(S)-hydroxy-13-cis-eicosenoyl-CoA[x]",4.2.1.17,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,HADHA and EHHADH and ECI1 and ECI2,,,,,vmhreaction/HMR_3357;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03358,,3(S)-hydroxy-13-cis-eicosenoyl-CoA[x] + NAD+[x] => 3-oxo-13-cis-eicosenoyl-CoA[x] + H+[x] + NADH[x],1.1.1.35;1.1.1.211,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,ACAA1 and EHHADH and HSD17B4,,,,,vmhreaction/HMR_3358;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03359,,3-oxo-13-cis-eicosenoyl-CoA[x] + CoA[x] => acetyl-CoA[x] + cis-vaccenoyl-CoA[x],2.3.1.16,ENSG00000060971 and ENSG00000167306,ACAA1 and MYO5B,,,,,vmhreaction/HMR_3359;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03360,,"cis-vaccenoyl-CoA[x] + FAD[x] => FADH2[x] + trans,cis-octadeca-2,11-dienoyl-CoA[x]",1.3.3.6,ENSG00000087008 or ENSG00000161533,ACOX3 or ACOX1,,,,,vmhreaction/HMR_3360;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03361,,"H2O[x] + trans,cis-octadeca-2,11-dienoyl-CoA[x] => (S)-3-hydroxy-11-cis-octadecenoyl-CoA[x]",4.2.1.17,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,HADHA and EHHADH and ECI1 and ECI2,,,,,vmhreaction/HMR_3361;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03362,,(S)-3-hydroxy-11-cis-octadecenoyl-CoA[x] + NAD+[x] => 3-oxo-11-cis-octadecenoyl-CoA[x] + H+[x] + NADH[x],1.1.1.35;1.1.1.211,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,ACAA1 and EHHADH and HSD17B4,,,,,vmhreaction/HMR_3362;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03363,,3-oxo-11-cis-octadecenoyl-CoA[x] + CoA[x] => acetyl-CoA[x] + palmitoleoyl-CoA[x],2.3.1.16,ENSG00000060971 and ENSG00000167306,ACAA1 and MYO5B,,,,,vmhreaction/HMR_3363;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),,,,0
MAR03218,,"(13Z)-docosenoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis-2,13-docosadienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/HMR_3218;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03219,,"H2O[m] + trans,cis-2,13-docosadienoyl-CoA[m] => 3(S)-hydroxy-13-cis-docosenoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/HMR_3219;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03220,,3(S)-hydroxy-13-cis-docosenoyl-CoA[m] + NAD+[m] => 3-oxo-13cis-docosenoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/HMR_3220;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03221,,3-oxo-13cis-docosenoyl-CoA[m] + CoA[m] => (11Z)-eicosenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3221;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03222,,"(11Z)-eicosenoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis-2,11-eicosadienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/HMR_3222;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03223,,"H2O[m] + trans,cis-2,11-eicosadienoyl-CoA[m] => 3(S)-hydroxy-11-cis-eicosenoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/HMR_3223;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03224,,3(S)-hydroxy-11-cis-eicosenoyl-CoA[m] + NAD+[m] => 3-oxo-11-cis-eicosenoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/HMR_3224;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03225,,3-oxo-11-cis-eicosenoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + oleoyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3225;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03226,,"FAD[m] + oleoyl-CoA[m] => FADH2[m] + trans,cis-octadeca-2,9-dienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/r1472;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03227,,"H2O[m] + trans,cis-octadeca-2,9-dienoyl-CoA[m] => (S)-3-hydroxyoleyleoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/r1474;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03228,,(S)-3-hydroxyoleyleoyl-CoA[m] + NAD+[m] => 3-oxooleoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/r1477;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03229,,3-oxooleoyl-CoA[m] + CoA[m] => 7-hexadecenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3229;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,,0
MAR03230,,"7-hexadecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis-hexadeca-2,7-dienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/HMR_3230;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:1047780;PMID:8973539;PMID:11135616,0
MAR03231,,"H2O[m] + trans,cis-hexadeca-2,7-dienoyl-CoA[m] => (S)-3-hydroxy-7-hexadecenoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/HMR_3231;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:9920399;PMID:10407780;PMID:9568246;PMID:7923814,0
MAR03232,,(S)-3-hydroxy-7-hexadecenoyl-CoA[m] + NAD+[m] => 3-oxo-7-hexadecenoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/HMR_3232;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:7923814;PMID:8319713;PMID:11427448;PMID:9920399,0
MAR03233,,3-oxo-7-hexadecenoyl-CoA[m] + CoA[m] => 5-tetradecenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3233;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:7923814;PMID:9920399;PMID:9568246,0
MAR03234,,"5-tetradecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis-myristo-2,5-dienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/HMR_3234;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:1047780;PMID:8973539;PMID:11135616,0
MAR03235,,"H2O[m] + trans,cis-myristo-2,5-dienoyl-CoA[m] => cis-(3S)-hydroxytetradec-5-enoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/HMR_3235;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:9568246;PMID:7923814;PMID:9920399;PMID:10407780,0
MAR03236,,cis-(3S)-hydroxytetradec-5-enoyl-CoA[m] + NAD+[m] => 3-oxomyrist-5-enoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/HMR_3236;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:8319713;PMID:11427448;PMID:9920399;PMID:7923814,0
MAR03237,,3-oxomyrist-5-enoyl-CoA[m] + CoA[m] => (3Z)-dodecenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/HMR_3237;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:9920399;PMID:9568246;PMID:7923814,0
MAR03239,3-cis-Dodecenoyl-CoA delta3-cis-delta2-trans-isomerase,(2E)-dodecenoyl-CoA[m] <=> (3Z)-dodecenoyl-CoA[m],5.3.3.8;5.3.3.-,ENSG00000104823 or ENSG00000167969 or ENSG00000198721,ECH1 or ECI1 or ECI2,,,,,kegg.reaction/R04100;bigg.reaction/DCIm;vmhreaction/DCIm;metanetx.reaction/MNXR97183;rhea/23719;rhea/23716;sbo/SBO:0000176,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),,,PMID:8486162,0
MAR03275,,"FAD[m] + linoleoyl-CoA[m] => FADH2[m] + trans,cis,cis-2,9,12-octadecatrienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,bigg.reaction/FAOXC182C162m;reactome/R-HSA-109339;vmhreaction/FAOXC182C162m;vmhreaction/RE1516M;metanetx.reaction/MNXR125224;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,"Harpers illustrated Biochemistry (2009) 28th edition page 242, ISBN:9781282335806",PMID:8973539;PMID:10407780;PMID:11356167,0
MAR03277,,"H2O[m] + trans,cis,cis-2,9,12-octadecatrienoyl-CoA[m] => (3S)-3-hydroxylinoleoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,bigg.reaction/FAOXC182C162m;vmhreaction/FAOXC182C162m;vmhreaction/RE1523M;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,"Harpers illustrated Biochemistry (2009) 28th edition page 242, ISBN:9781282335806",PMID:9920399;PMID:10407780;PMID:7923814;PMID:9568246,0
MAR03278,,(3S)-3-hydroxylinoleoyl-CoA[m] + NAD+[m] => 3-oxolinoleoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,bigg.reaction/FAOXC182C162m;vmhreaction/FAOXC182C162m;vmhreaction/RE0512M;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,"Harpers illustrated Biochemistry (2009) 28th edition page 242, ISBN:9781282335806",PMID:7846063,0
MAR03279,,"3-oxolinoleoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis,cis-palmito-7,10-dienoyl-CoA[m]",2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,bigg.reaction/FAOXC182C162m;vmhreaction/FAOXC182C162m;vmhreaction/RE1531M;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,"Harpers illustrated Biochemistry (2009) 28th edition page 242, ISBN:9781282335806",PMID:10407780;PMID:9920399;PMID:7923814;PMID:9568246,0
MAR03280,,"cis,cis-palmito-7,10-dienoyl-CoA[m] + FAD[m] => FADH2[m] + trans,cis,cis-2,7,10-hexadecatrienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,bigg.reaction/FAOXC162C142m;vmhreaction/FAOXC162C142m;vmhreaction/RE1517M;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:8973539;PMID:10407780;PMID:11356167,0
MAR03281,,"H2O[m] + trans,cis,cis-2,7,10-hexadecatrienoyl-CoA[m] => (3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,bigg.reaction/FAOXC163GC142m;bigg.reaction/FAOXC162C142m;vmhreaction/FAOXC163GC142m;vmhreaction/FAOXC162C142m;vmhreaction/RE1522M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:9920399;PMID:9568246;PMID:7923814;PMID:10407780;PMID:7775433;PMID:10407780,0
MAR03282,,"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m] + NAD+[m] => 3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[m] + H+[m] + NADH[m]",1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,bigg.reaction/FAOXC163GC142m;bigg.reaction/FAOXC162C142m;vmhreaction/FAOXC163GC142m;vmhreaction/FAOXC162C142m;vmhreaction/RE1525M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:10407780;PMID:7775433,0
MAR03283,,"3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis,cis-myristo-5,8-dienoyl-CoA[m]",2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,bigg.reaction/FAOXC163GC142m;bigg.reaction/FAOXC162C142m;vmhreaction/FAOXC163GC142m;vmhreaction/FAOXC162C142m;vmhreaction/RE1532M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:10407780;PMID:9568246;PMID:7923814;PMID:9920399;PMID:7775433;PMID:10407780,0
MAR03284,,"cis,cis-myristo-5,8-dienoyl-CoA[m] + FAD[m] => FADH2[m] + trans-2-cis,cis-5,8-tetradecatrienoyl-CoA[m]",1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,bigg.reaction/FAOXC142C122m;vmhreaction/FAOXC142C122m;vmhreaction/RE1518M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:8973539;PMID:10407780;PMID:11356167,0
MAR03285,,"H2O[m] + trans-2-cis,cis-5,8-tetradecatrienoyl-CoA[m] => 3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,bigg.reaction/FAOXC142C122m;vmhreaction/FAOXC142C122m;vmhreaction/RE1521M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,,0
MAR03286,,"3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA[m] + NAD+[m] => 3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[m] + H+[m] + NADH[m]",1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,bigg.reaction/FAOXC142C122m;vmhreaction/FAOXC142C122m;vmhreaction/RE1526M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,,0
MAR03287,,"3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis,cis-3,6-dodecadienoyl-CoA[m]",2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,bigg.reaction/FAOXC142C122m;vmhreaction/FAOXC142C122m;vmhreaction/RE1533M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,,0
MAR03288,"cis,cis-3,6-Dodecadienoyl-CoA delta3-cis-delta2-trans-isomerase","cis,cis-3,6-dodecadienoyl-CoA[m] => trans,cis-lauro-2,6-dienoyl-CoA[m]",5.3.3.8;5.3.3.-,ENSG00000104823 or ENSG00000167969 or ENSG00000198721,ECH1 or ECI1 or ECI2,,,,,kegg.reaction/R04756;bigg.reaction/FAOXC122m;reactome/R-HSA-109338;vmhreaction/FAOXC122m;vmhreaction/HMR_3288;vmhreaction/RE1573M;vmhreaction/HMR_3422;metanetx.reaction/MNXR109096;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:10407780,2
MAR03290,,"H2O[m] + trans,cis-lauro-2,6-dienoyl-CoA[m] => (3S)-3-hydroxydodec-cis-6-enoyl-CoA[m]",4.2.1.17,ENSG00000084754 or ENSG00000127884,HADHA or ECHS1,,,,,bigg.reaction/FAOXC122C101m;reactome/R-HSA-109342;vmhreaction/FAOXC122C101m;vmhreaction/RE1520M;vmhreaction/HMR_3422;metanetx.reaction/MNXR125225;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:9920399;PMID:10407780;PMID:7923814;PMID:9568246,0
MAR03292,,(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m] + NAD+[m] => 3-oxolaur-6-cis-enoyl-CoA[m] + H+[m] + NADH[m],1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,bigg.reaction/FAOXC122C101m;vmhreaction/FAOXC122C101m;vmhreaction/RE1527M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,,0
MAR03293,,3-oxolaur-6-cis-enoyl-CoA[m] + CoA[m] => 4-cis-decenoyl-CoA[m] + acetyl-CoA[m],2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,bigg.reaction/FAOXC122C101m;vmhreaction/FAOXC122C101m;vmhreaction/RE1534M;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:7923814;PMID:9920399;PMID:10407780;PMID:9568246,0
MAR03294,,4-cis-decenoyl-CoA[m] + FAD[m] => 2-trans-4-cis-decadienoyl-CoA[m] + FADH2[m],1.3.8.7;1.3.8.8;1.3.8.9;1.3.99.-,ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,ACADVL or ACADL or ACADM or ACAD9,,,,,vmhreaction/FAOXC101C102m;vmhreaction/HMR_3422;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:8973539;PMID:10407780;PMID:11356167,0
MAR03298,,(2E)-decenoyl-CoA[m] <=> trans-3-decenoyl-CoA[m],5.3.3.8,ENSG00000167969 or ENSG00000198721,ECI1 or ECI2,,,,,reactome/R-HSA-109998;vmhreaction/RE3628M;vmhreaction/FAOXC101m;vmhreaction/HMR_3422;metanetx.reaction/MNXR118942;rhea/45753;rhea/45752;sbo/SBO:0000176,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),,,PMID:11356164;PMID:7775433,0
MAR01174,,"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[m] + CoA[m] => 8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m] + acetyl-CoA[m]",2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/RE3383M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01175,,"8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate[m] + O2[m] => 8(R)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate[m] + H2O2[m]",1.3.3.6,ENSG00000087008 or ENSG00000161533,ACOX3 or ACOX1,,,,,vmhreaction/RE3385M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01176,,"8(R)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate[m] + H+[m] + NADPH[m] => 8(R)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate[m] + NADP+[m]",1.3.1.34,ENSG00000104325,DECR1,,,,,vmhreaction/RE3391M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01177,,"8(R)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate[m] + H2O[m] => 3(S),8(R)-dihydroxy-(6E,10Z)-hexadecadienoate[m]",4.2.1.17,ENSG00000084754,HADHA,,,,,vmhreaction/RE3386M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01178,,"3(S),8(R)-dihydroxy-(6E,10Z)-hexadecadienoate[m] + NAD+[m] => 3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate[m] + H+[m] + NADH[m]",1.1.1.35;1.1.1.211,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,HSD17B10 and HADHA and HADH,,,,,vmhreaction/RE3387M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01179,,"3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate[m] + CoA[m] => 6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate[m] + acetyl-CoA[m]",2.3.1.16;1.1.1.211,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,HADHA and HADHB and ACAA2,,,,,vmhreaction/RE3384M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
MAR01180,,"6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate[m] + O2[m] => 6(R)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate[m] + H2O2[m]",1.3.3.6,ENSG00000087008 or ENSG00000161533,ACOX3 or ACOX1,,,,,vmhreaction/RE3389M;sbo/SBO:0000176,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),,,PMID:11356170,0
