id	name	subsystem	formula	ecnumber	keggId	keggorthology	cog	seed	metanetx
C161CRN2t	C161 Transport into the Mitochondria	hdd2crn[c] <=> hdd2crn[m] 	Fatty acid oxidation						MNXR96389
C161CRNt	C161 Transport into the Mitochondria	hdcecrn[c] <=> hdcecrn[m] 	Fatty acid oxidation						MNXR96390
C180CPT1	Production of Stearoylcarnitine	crn[c] + stcoa[c] <=> coa[c] + stcrn[c] 	Fatty acid oxidation						MNXR96393
C180CPT2	Carnitine O-Stearoyl Transferase	coa[m] + stcrn[m] <=> crn[m] + stcoa[m] 	Fatty acid oxidation						MNXR96393
C180CRNt	C180 Transport into the Mitochondria	stcrn[c] <=> stcrn[m] 	Fatty acid oxidation						MNXR96394
C181CPT1	Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix	crn[c] + odecoa[c] <=> coa[c] + odecrn[c] 	Fatty acid oxidation						MNXR96396
C181CPT2	Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix	coa[m] + odecrn[m] <=> crn[m] + odecoa[m] 	Fatty acid oxidation						MNXR96396
C181CRNt	C181 Transport into the Mitochondria	odecrn[c] <=> odecrn[m] 	Fatty acid oxidation						MNXR96397
C204CPT1	Carnitine C20:4 Transferase	arachdcoa[c] + crn[c] <=> arachdcrn[c] + coa[c] 	Fatty acid oxidation						MNXR96400
C204CPT2	Arachidonic Acid Transport into the Mitochondria	arachdcrn[m] + coa[m] <=> arachdcoa[m] + crn[m] 	Fatty acid oxidation						MNXR96400
C204CRNt	Arachidonic Acid Transport into the Mitochondria	arachdcrn[c] <=> arachdcrn[m] 	Fatty acid oxidation						MNXR96401
C226COAtx	Fatty Acid Intracellular Transport	c226coa[c] <=> c226coa[x] 	Transport, peroxisomal						MNXR96402
C226CPT1	Carnitine C22:6 Transferase	c226coa[c] + crn[c] <=> c226crn[c] + coa[c] 	Fatty acid oxidation						MNXR96403
C226CPT2	C226 Transport into the Mitochondria	c226crn[m] + coa[m] <=> c226coa[m] + crn[m] 	Fatty acid oxidation						MNXR96403
C226CRNt	C226 Transport into the Mitochondria	c226crn[c] <=> c226crn[m] 	Fatty acid oxidation						MNXR96404
C2M26DCOAHLm	Cis-2-Methyl-5-Isopropylhexa-2, 5-Dienoyl Coenzyme A Hydro-Lyase, Mitochondrial	c2m26dcoa[m] + h2o[m] <=> 3h26dm5coa[m] 	Limonene and pinene degradation	4.2.1.17					
C2M26DCOAHLx	Cis-2-Methyl-5-Isopropylhexa-2, 5-Dienoyl Coenzyme A Hydro-Lyase, Peroxisomal	c2m26dcoa[x] + h2o[x] <=> 3h26dm5coa[x] 	Limonene and pinene degradation	4.2.1.17					
C3STDH1Pr	C-3 Sterol Dehydrogenase (4-Methylzymosterol)	4mzym_int1[r] + nadp[r] -> 4mzym_int2[r] + co2[r] + h[r] + nadph[r] 	Cholesterol metabolism						MNXR95038
C3STDH1r	C-3 Sterol Dehydrogenase (4-Methylzymosterol)	4mzym_int1[r] + nad[r] -> 4mzym_int2[r] + co2[r] + h[r] + nadh[r] 	Cholesterol metabolism	5.3.3.1					MNXR96410
C3STKR2r	C-3 Sterol Keto Reductase (Zymosterol)	h[r] + nadph[r] + zym_int2[r] -> nadp[r] + zymst[r] 	Cholesterol metabolism						MNXR96413
C4STMO1r	C-4 Sterol Methyl Oxidase (4, 4-Dimethylzymosterol)	44mzym[r] + 3.0 h[r] + 3.0 nadph[r] + 3.0 o2[r] -> 4mzym_int1[r] + 4.0 h2o[r] + 3.0 nadp[r] 	Cholesterol metabolism						MNXR94990
C4STMO2Pr	C-4 Methyl Sterol Oxidase	4mzym_int2[r] + nadp[r] + o2[r] -> co2[r] + h[r] + nadph[r] + zym_int2[r] 	Cholesterol metabolism						MNXR96419
C4STMO2r	C-4 Methyl Sterol Oxidase	4mzym_int2[r] + nad[r] + o2[r] -> co2[r] + h[r] + nadh[r] + zym_int2[r] 	Cholesterol metabolism						MNXR96420
CAATPS	Ca ATPase	atp[c] + ca2[c] + h2o[c] -> adp[c] + ca2[e] + h[e] + pi[c] 	Transport, extracellular	3.6.3.6					
CAROtr	Beta-Carotene Transport via Diffusion	caro[e] <=> caro[c] 	Transport, extracellular						MNXR96450
CARVEOLte	Transport of Xenobiotic	carveol[e] <=> carveol[c] 	Transport, extracellular						MNXR96452
CAT2p	Catalase A, Peroxisomal (Ethanol)	etoh[x] + h2o2[x] -> acald[x] + 2.0 h2o[x] 	Glycolysis/gluconeogenesis	1.11.1.6					MNXR96457
CAt7r	Calcium / Sodium Antiporter (1:3), Reversible	ca2[c] + 3.0 na1[e] <=> ca2[e] + 3.0 na1[c] 	Transport, extracellular						MNXR96461
CATm	Catalase	2.0 h2o2[m] -> 2.0 h2o[m] + o2[m] 	ROS detoxification	1.11.1.21, 1.11.1.6	R00009				MNXR96455
CATp	Catalase A, Peroxisomal	2.0 h2o2[x] -> 2.0 h2o[x] + o2[x] 	Miscellaneous	1.11.1.21, 1.11.1.6	R00009				MNXR96455
CBL2OR	NADH:Cob (III)Alamine Oxidoreductase	2.0 aqcobal[c] + h[c] + nadh[c] -> 2.0 cbl2[c] + 2.0 h2o[c] + nad[c] 	Vitamin B12 metabolism	1.16.1.3					MNXR96473
CBL2tm	Cob(II)Alamine Transport, Mitochondrial	cbl2[c] -> cbl2[m] 	Transport, mitochondrial						MNXR96475
CBLATm	Cob(I)Alamin Adenosyltransferase, Mitochondrial	atp[m] + cbl1[m] + h[m] <=> adocbl[m] + pppi[m] 	Vitamin B12 metabolism	2.5.1.17					
CBPPer	Carbamoyl Phosphate Phosphotransferase, Endoplasmic Reticulum	cbp[r] + glc_D[r] + h[r] -> co2[r] + g6p[r] + nh4[r] 	Glycolysis/gluconeogenesis						MNXR96484
CBPSam	Carbamoyl-Phosphate Synthase (Ammonia), Mitochondrial	2.0 atp[m] + hco3[m] + nh4[m] -> 2.0 adp[m] + cbp[m] + 2.0 h[m] + pi[m] 	Glutamate metabolism	6.3.4.16, 6.3.5.5	R07641				MNXR96486
CBPter	Carbamoyl Phosphate Transport, Endoplasmic Reticulum	cbp[c] + pi[c] + ppi[c] <=> cbp[r] + pi[r] + ppi[r] 	Transport, endoplasmic reticular						MNXR96487
CBR1	Carbonyl Reductase [NADPH] 1	h[c] + nadph[c] + prostg1[c] <=> nadp[c] + prostge1[c] 	Eicosanoid metabolism	1.1.1.197					
CBR2	Carbonyl Reductase [NADPH] 1	h[c] + nadph[c] + prostge2[c] -> nadp[c] + prostgf2[c] 	Eicosanoid metabolism	1.1.1.189					MNXR96490
CCA_D3t	Calcitroic Acid Transport from Cytosol	cca_d3[c] -> cca_d3[e] 	Transport, extracellular	6.3.4.16					
CCA_D3tm	Calcitroic Acid Transport from Mitochondria	cca_d3[m] -> cca_d3[c] 	Transport, mitochondrial						
CDIPTr	Phosphatidylinositol Synthase (Homo Sapiens)	cdpdag_hs[c] + inost[c] <=> cmp[c] + h[c] + pail_hs[c] 	Glycerophospholipid metabolism						MNXR96527
CDPDAGtm	Intracellular Transport	cdpdag_hs[c] <=> cdpdag_hs[m] 	Transport, mitochondrial						MNXR96550
CDS	Phosphatidate Cytidylyltransferase	ctp[c] + h[c] + pa_hs[c] -> cdpdag_hs[c] + ppi[c] 	Glycerophospholipid metabolism						MNXR96563
CDSm	Phosphatidate Cytidylyltransferase	ctp[m] + h[m] + pa_hs[m] -> cdpdag_hs[m] + ppi[m] 	Glycerophospholipid metabolism						MNXR96563
CEPTC	Choline Phosphotransferase	cdpchol[c] + dag_hs[c] -> cmp[c] + h[c] + pchol_hs[c] 	Glycerophospholipid metabolism						MNXR96592
CEPTE	Ethanolamine Phosphotransferase	cdpea[c] + dag_hs[c] -> cmp[c] + h[c] + pe_hs[c] 	Glycerophospholipid metabolism	2.7.8.1	R02057				MNXR96611
CERK	Ceramide Kinase	atp[c] + crm_hs[c] -> adp[c] + crmp_hs[c] + h[c] 	Sphingolipid metabolism						MNXR96640
CERT1gt	Ceramide Transport Protein	crm_hs[c] <=> crm_hs[g] 	Transport, golgi apparatus						MNXR96644
CERT1rt	Ceramide Transport Protein	crm_hs[c] <=> crm_hs[r] 	Transport, endoplasmic reticular						MNXR96644
CERT2gt	Ceramide Transport Protein	gluside_hs[c] <=> gluside_hs[g] 	Transport, golgi apparatus						MNXR96646
CERT2rt	Ceramide Transport Protein	gluside_hs[c] <=> gluside_hs[r] 	Transport, endoplasmic reticular						MNXR96646
CGLYt3_2_	Cys-Gly Transport in via Proton Symport	cgly[e] + 2.0 h[e] -> cgly[c] + 2.0 h[c] 	Transport, extracellular						
CH25H	Cholesterol 25-Hydroxylase	chsterol[r] + h[r] + nadph[r] + o2[r] -> h2o[r] + nadp[r] + xol25oh[r] 	Bile acid synthesis						MNXR96660
CHAT	Choline O-Acetyltransferase	accoa[c] + chol[c] <=> ach[c] + coa[c] 	Glycerophospholipid metabolism	2.3.1.6	R01023				MNXR96666
CHATn	Choline O-Acetyltransferase	accoa[n] + chol[n] <=> ach[n] + coa[n] 	Glycerophospholipid metabolism	2.3.1.6	R01023				MNXR96666
CHLP	Choline Phosphate Phosphatase	cholp[c] + h2o[c] -> chol[c] + pi[c] 	Glycerophospholipid metabolism	3.1.3.75	R06871				MNXR96685
CHLPCTD	Choline Phosphate Cytididyltransferase	cholp[c] + ctp[c] + h[c] -> cdpchol[c] + ppi[c] 	Glycerophospholipid metabolism	2.7.7.15	R01890				MNXR96686
CHLtm	Choline Transport via Diffusion (Cytosol to Mitochondria)	chol[c] <=> chol[m] 	Transport, mitochondrial						MNXR96693
CHOLATEt	Cholate Transport via Bicarbonate Antiport	cholate[e] + hco3[c] <=> cholate[c] + hco3[e] 	Transport, extracellular						MNXR96694
CHOLATEt2	Cholate Transport via Sodium Symport	cholate[e] + 2.0 na1[e] -> cholate[c] + 2.0 na1[c] 	Transport, extracellular						MNXR96695
CHOLATEt3	ABC Bile Acid Transporter	atp[c] + cholate[c] + h2o[c] -> adp[c] + cholate[e] + h[c] + pi[c] 	Transport, extracellular						MNXR96696
CHOLD2m	Choline Dehydrogenase (FAD Acceptor), Mitochondrial	chol[m] + fad[m] -> betald[m] + fadh2[m] 	Glycine, serine, alanine, and threonine metabolism	1.1.99.1					MNXR96698
CHOLK	Choline Kinase	atp[c] + chol[c] -> adp[c] + cholp[c] + h[c] 	Glycerophospholipid metabolism	2.7.1.32	R01021			rxn00751	MNXR96702
CHOLPtg	Choline Phosphate Intracellular Transport	cholp[c] <=> cholp[g] 	Transport, golgi apparatus						MNXR96703
CHOLPtl	Choline Phosphate Intracellular Transport	cholp[c] <=> cholp[l] 	Transport, lysosomal						MNXR96703
CHOLt4	Choline, Sodium Symport	chol[e] + na1[e] <=> chol[c] + na1[c] 	Transport, extracellular						MNXR96707
CHOLtg	Choline Intracellular Transport	chol[g] <=> chol[c] 	Transport, golgi apparatus						MNXR96693
CHOLtn	Choline Transport, Nuclear Through Pores	chol[c] <=> chol[n] 	Transport, nuclear						MNXR96693
CHOLtr	Choline Intracellular Transport	chol[r] <=> chol[c] 	Transport, endoplasmic reticular						MNXR96693
CHOLtu	Choline Uniport	chol[e] <=> chol[c] 	Transport, extracellular						MNXR96693
CHSTEROLSULT	Steroid Sulfotransferase	chsterol[c] + paps[c] -> chsterols[c] + h[c] + pap[c] 	Steroid metabolism	2.8.2.2					MNXR96712
CHSTEROLt1	Cholesterol Intracellular Transport	chsterol[l] <=> chsterol[m] 	Transport, mitochondrial						MNXR96700
CHSTEROLt2	Cholesterol Intracellular Transport	chsterol[r] <=> chsterol[m] 	Transport, mitochondrial						MNXR96700
CHSTEROLt3	Cholesterol Intracellular Transport	chsterol[c] <=> chsterol[m] 	Transport, mitochondrial						MNXR96700
CHSTEROLtg	Cholesterol Efflux (ATP Depedent), Golgi Apparatus	atp[c] + chsterol[g] + h2o[c] -> adp[c] + chsterol[c] + h[c] + pi[c] 	Transport, golgi apparatus						MNXR96714
CHTNASE	Chitinase	chtn[c] + 2.0 h2o[c] -> 3.0 acgam[c] 	Aminosugar metabolism						MNXR96717
CHTNASEe	Chitinase, Extracellular	chtn[e] + 2.0 h2o[e] -> 3.0 acgam[e] 	Aminosugar metabolism						MNXR96717
CITMCOAHm	L-Citramalyl Coenzyme A Hydro-Lyase, Mitochondrial	h2o[m] + itaccoa[m] <=> citmcoa_L[m] 	C5-branched dibasic acid metabolism	4.2.1.56					MNXR96732
CITMCOALm	L-Citramalyl Coenzyme A Pyruvate-Lyase	citmcoa_L[m] -> accoa[m] + pyr[m] 	C5-branched dibasic acid metabolism	4.1.3.25					MNXR96733
CITRtm	Citrulline Mitochondrial Transport via Proton Antiport	citr_L[m] <=> citr_L[c] 	Transport, mitochondrial						MNXR96735
CITt4_2	Citrate Transport via Sodium Symport	cit[e] + 2.0 na1[e] <=> cit[c] + 2.0 na1[c] 	Transport, extracellular						MNXR96749
CITtam	Citrate Transport, Mitochondrial	cit[c] + mal_L[m] <=> cit[m] + mal_L[c] 	Transport, mitochondrial						MNXR96753
CITtbm	Citrate Transport, Mitochondrial	cit[c] + pep[m] <=> cit[m] + pep[c] 	Transport, mitochondrial						MNXR96754
CK	ATP Creatine Kinase	atp[m] + creat[m] <=> adp[m] + h[m] + pcreat[m] 	Urea cycle	2.7.3.2					
CKc	ATP Creatine Kinase, Cytosolic	atp[c] + creat[c] <=> adp[c] + h[c] + pcreat[c] 	Urea cycle	2.7.3.2					
CLFORtex	Chloride Transport via Formate Antiport	cl[e] + 2.0 for[c] -> cl[c] + 2.0 for[e] 	Transport, extracellular						MNXR96761
CLHCO3tex2	Chloride Transport via Bicarbonate Antiport (2:1)	2.0 cl[e] + hco3[c] -> 2.0 cl[c] + hco3[e] 	Transport, extracellular						MNXR96763
CLI2tex	Chloride Transport via Iodide Antiport	cl[e] + 2.0 i[c] -> cl[c] + 2.0 i[e] 	Transport, extracellular						MNXR96765
CLOHtex2	Chloride Transport via Hydroxide Antiport (2:1)	2.0 cl[e] + h2o[c] -> 2.0 cl[c] + h2o[e] 	Transport, extracellular						MNXR96768
CLOXAtex2	Chloride Transport via Oxalate Antiport (2:1)	2.0 cl[e] + oxa[c] -> 2.0 cl[c] + oxa[e] 	Transport, extracellular						MNXR96769
CLPNDCOAtx	Fatty Acid Intracellular Transport	clpndcoa[c] <=> clpndcoa[x] 	Transport, peroxisomal						MNXR96770
CLPNDCPT1	Carnitine O-Palmitoyltransferase	clpndcoa[c] + crn[c] <=> clpndcrn[c] + coa[c] 	Fatty acid oxidation						MNXR96771
CLPNDCPT2	Carnitine Transferase	clpndcrn[m] + coa[m] <=> clpndcoa[m] + crn[m] 	Fatty acid oxidation						MNXR96771
CLPNDCRNt	Transport into the Mitochondria (Carnitine)	clpndcrn[c] <=> clpndcrn[m] 	Fatty acid oxidation						MNXR96772
CLPNDt	Fatty Acid Transport via Diffusion	clpnd[e] <=> clpnd[c] 	Transport, extracellular						MNXR96773
CLS_hs	Cardiolipin Synthase (Homo Sapiens)	cdpdag_hs[c] + pglyc_hs[c] -> clpn_hs[c] + cmp[c] + h[c] 	Glycerophospholipid metabolism						
CMPACNAtg	Transport of Cytidine-5'-Monophosphate-N-Acetyl-Beta-Neuraminate via CMP Antiport, Golgi Apparatus	cmp[g] + cmpacna[c] <=> cmp[c] + cmpacna[g] 	Transport, golgi apparatus						MNXR96801
CMPACNAtn	Transport of Cytidine-5'-Monophosphate-N-Acetyl-Beta-Neuraminate, Nuclear	cmpacna[n] -> cmpacna[c] 	Transport, nuclear						MNXR96802
CMPSAS	CMP Sialic Acid Synthase	acnam[c] + ctp[c] -> cmpacna[c] + ppi[c] 	Aminosugar metabolism	2.7.7.43		K00983	COG1083	rxn00827	MNXR68555
CMPSASn	CMP Sialic Acid Synthase, Nuclear	acnam[n] + ctp[n] -> cmpacna[n] + ppi[n] 	Aminosugar metabolism	2.7.7.43	R01117				MNXR95295
CO2ter	CO2 Endoplasmic Reticular Transport via Diffusion	co2[c] <=> co2[r] 	Transport, endoplasmic reticular						MNXR96810
CO2tg	CO2 Golgi Transport	co2[c] <=> co2[g] 	Transport, golgi apparatus						MNXR96810
CO2tm	CO2 Transport (Diffusion), Mitochondrial	co2[c] <=> co2[m] 	Transport, mitochondrial						MNXR96810
CO2tn	CO2 Nuclear Transport via Diffusion	co2[n] <=> co2[c] 	Transport, nuclear						
CO2tp	CO2 Peroxisomal Transport	co2[c] <=> co2[x] 	Transport, peroxisomal						MNXR96810
COAtg	Transport of Coenzyme A (Diffusion), Golgi Apparatus	coa[c] <=> coa[g] 	Transport, golgi apparatus						MNXR96815
COAtl	Transport of Coenzyme A (Diffusion), Lysosomal	coa[c] <=> coa[l] 	Transport, lysosomal						MNXR96815
COAtm	Transport of Coenzyme A	coa[c] <=> coa[m] 	Transport, mitochondrial						
COAtn	Transport of Coenzyme A, Nuclear	coa[c] <=> coa[n] 	Transport, nuclear						MNXR96815
COAtp	Transport of Coenzyme A, Peroxisome	coa[c] <=> coa[x] 	Transport, peroxisomal						MNXR96815
COAtr	Transport of Coenzyme A, Endoplasmatic Reticulum	coa[c] <=> coa[r] 	Transport, endoplasmic reticular						MNXR96815
COKECBESr	Carboxylesterase (Cocaine), Endoplasmatic Reticulum	coke[r] + h2o[r] -> bz[r] + egme[r] + h[r] 	Alkaloid synthesis	3.1.1.84					MNXR96841
COQ3m	Methyltransferase Coq3	2dpmhobq[m] + amet[m] -> ahcys[m] + h[m] + q10[m] 	Ubiquinone synthesis						MNXR96850
COQ5m	Ubiquinone Biosynthesis Methyltransferase Coq5	2dp6mobq[m] + amet[m] -> 2dp6mobq_me[m] + ahcys[m] + h[m] 	Ubiquinone synthesis						MNXR96851
COQ6m	Ubiquinone Biosynthesis Monooxgenase Coq6	2dp6mep[m] + o2[m] -> 2dp6mobq[m] + h2o[m] 	Ubiquinone synthesis						MNXR96852
COQ7m	Ubiquinone Biosynthesis Coq7	2dp6mobq_me[m] + h[m] + nadph[m] + o2[m] -> 2dpmhobq[m] + h2o[m] + nadp[m] 	Ubiquinone synthesis						MNXR96853
CORE2GTg	Core 2 Acetylglucosaminyltransferase, Golgi Apparatus	T_antigen[g] + uacgam[g] -> core2[g] + h[g] + udp[g] 	O-glycan metabolism	2.4.1.102					MNXR96854
CORE3GTg	Core 3 Beta-GlcNac-Transferase, Golgi Apparatus	Tn_antigen[g] + uacgam[g] -> core3[g] + h[g] + udp[g] 	O-glycan metabolism	2.4.1.147	R05909				MNXR96855
CORE4GTg	Core 4 Beta6-Galnac-Transferase, Golgi Apparatus	core3[g] + uacgam[g] -> core4[g] + h[g] + udp[g] 	O-glycan metabolism	2.4.1.148	R05915				MNXR96856
CORE5GTg	Core 5 Alpha-Galnac-Transferase, Golgi Apparatus	Tn_antigen[g] + udpacgal[g] -> core5[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR96857
CORE6GTg	Core 6 Beta-GlcNac-Transferase A, Golgi Apparatus	Tn_antigen[g] + uacgam[g] -> core6[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR96858
CORE7GTg	Core 7 Alpha-Galnac-Transferase, Golgi Apparatus	Tn_antigen[g] + udpacgal[g] -> core7[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR96859
CORE8GTg	N-Acetylgalactosamine 3-Alpha-Galactosyltransferase, Golgi Apparatus	Tn_antigen[g] + udpgal[g] -> core8[g] + h[g] + udp[g] 	O-glycan metabolism						MNXR96860
COt	Transporter of Carbon Monoxide via Diffusion	co[c] <=> co[e] 	Transport, extracellular						MNXR96863
COUCOAFm	P-Coumaroyl Coenzyme A Formation	atp[m] + coa[m] + T4hcinnm[m] -> amp[m] + coucoa[m] + ppi[m] 	Ubiquinone synthesis	6.2.1.12	R01616				MNXR94998
COUMARINte	Transport of Coumarin	coumarin[e] <=> coumarin[c] 	Transport, extracellular						MNXR96861
CPCTDTX	Choline-Phosphate Cytidylyltransferase	ctp[c] + h[c] + ntm2amep[c] -> cmpntm2amep[c] + ppi[c] 	Glycerophospholipid metabolism	2.7.7.15					
CREATt4_2_r	Creatine Transport (Sodium Symport) (2:1)	creat[e] + 2.0 na1[e] <=> creat[c] + 2.0 na1[c] 	Transport, extracellular						
CREATtmdiffir	Creatine Transport To/from Mitochondria via Diffusion	creat[c] -> creat[m] 	Urea cycle						MNXR96886
CRMPte	Crmp Hs Transport	crmp_hs[c] <=> crmp_hs[e] 	Transport, extracellular						MNXR96892
CRNCAR3tp	Carnitine-Propcarnitine Carrier, Peroxisomal	crn[c] + pcrn[x] -> crn[x] + pcrn[c] 	Transport, peroxisomal						MNXR96897
CRNCARtp	Carnitine-Acetylcarnitine Carrier, Peroxisomal	acrn[x] + crn[c] -> acrn[c] + crn[x] 	Transport, peroxisomal						MNXR96898
CRNt	L-Carnitine Reversible Transport	crn[e] <=> crn[c] 	Transport, extracellular						MNXR96906
CRNtHa	L-Carnitine Outward Transport (H+ Antiport)	crn[c] + h[e] -> crn[e] + h[c] 	Transport, extracellular						MNXR96910
CRNtim	L-Carnitine Transport Out of Mitochondria via Diffusion	crn[m] <=> crn[c] 	Transport, mitochondrial						MNXR96906
CRNtuNa	L-Carnitine Inward Transport by Na+ Symport	crn[e] + na1[e] -> crn[c] + na1[c] 	Transport, extracellular						MNXR96911
CRNtx	Carnitine Transport Peroxisome to Mitochondria	dmnoncrn[x] <=> dmnoncrn[m] 	Transport, peroxisomal						MNXR96433
CRTNsyn	Creatinine Synthase	pcreat[c] -> crtn[c] + pi[c] 	Urea cycle						
CRTSLt	Cortisol Transport	crtsl[e] <=> crtsl[c] 	Transport, extracellular						MNXR96917
CRTSLtm	Cortisol Intracellular Transport	crtsl[c] <=> crtsl[m] 	Transport, mitochondrial						MNXR96917
CRTSLtr	Cortisol Intracellular Transport	crtsl[c] <=> crtsl[r] 	Transport, endoplasmic reticular						MNXR96917
CRTSTRNt	Corticosterone Transport	crtstrn[e] <=> crtstrn[c] 	Transport, extracellular						MNXR96918
CRTSTRNtm	Corticosterone Intracellular Transport	crtstrn[c] <=> crtstrn[m] 	Transport, mitochondrial						MNXR96918
CRTSTRNtr	Corticosterone Intracellular Transport	crtstrn[c] <=> crtstrn[r] 	Transport, endoplasmic reticular						
CRVNCtr	Fatty Acid Transport via Diffusion	crvnc[e] <=> crvnc[c] 	Transport, extracellular						MNXR96919
CSAPASEly	Chondroitin Sulfate A Proteoglycan Protease, Lysosomal (Endosome)	cspg_a[l] + h2o[l] -> cs_a[l] + Ser_Gly_Ala_X_Gly[l] 	Chondroitin sulfate degradation						MNXR96921
CSBPASEly	Chondroitin Sulfate B Proteoglycan Protease, Lysosomal (Endosome)	cspg_b[l] + h2o[l] -> cs_b[l] + Ser_Gly_Ala_X_Gly[l] 	Chondroitin sulfate degradation						MNXR96922
CSCPASEly	Chondroitin Sulfate C Proteoglycan Protease, Lysosomal (Endosome)	cspg_c[l] + h2o[l] -> cs_c[l] + Ser_Gly_Ala_X_Gly[l] 	Chondroitin sulfate degradation						MNXR96923
CSDPASEly	Chondroitin Sulfate D Proteoglycan Protease, Lysosomal (Endosome)	cspg_d[l] + h2o[l] -> cs_d[l] + Ser_Gly_Ala_X_Gly[l] 	Chondroitin sulfate degradation						MNXR96924
CSEPASEly	Chondroitin Sulfate E Proteoglycan Protease, Lysosomal (Endosome)	cspg_e[l] + h2o[l] -> cs_e[l] + Ser_Gly_Ala_X_Gly[l] 	Chondroitin sulfate degradation						MNXR96925
CSm	Citrate Synthase	accoa[m] + h2o[m] + oaa[m] -> cit[m] + coa[m] + h[m] 	Citric acid cycle	2.3.3.1, 2.3.3.16, 2.3.3.3	R00351				MNXR96920
CSNAT2m	Carnitine O-Aceyltransferase, Mitochondrial	coa[m] + pcrn[m] <=> crn[m] + ppcoa[m] 	Fatty acid oxidation						MNXR96409
CSNAT2x	Carnitine Dimethyl Nonanoyl Transferase, Revsible, Peroxisomal	crn[x] + dmnoncoa[x] <=> coa[x] + dmnoncrn[x] 	Fatty acid oxidation						MNXR96377
CSNAT3x	Carnitine O-Aceyltransferase, Peroxisomal	crn[x] + ppcoa[x] <=> coa[x] + pcrn[x] 	Fatty acid oxidation						MNXR96409
CSNATer	Carnitine O-Acetyltransferase, Endolasmic Reticulum	accoa[r] + crn[r] <=> acrn[r] + coa[r] 	Fatty acid oxidation	2.3.1.7	R02396				MNXR96926
CSNATm	Carnitine O-Aceyltransferase, Mitochondrial	acrn[m] + coa[m] <=> accoa[m] + crn[m] 	Fatty acid oxidation	2.3.1.7	R02396				MNXR96926
CSNATp	Carnitine O-Acetyltransferase, Reverse Direction, Peroxisomal	accoa[x] + crn[x] <=> acrn[x] + coa[x] 	Fatty acid oxidation	2.3.1.7	R02396				MNXR96926
CSNATr	Carnitine O-Acetyltransferase	accoa[c] + crn[c] <=> acrn[c] + coa[c] 	Fatty acid oxidation	2.3.1.7	R02396				MNXR96926
CSNt	Cytosine Transport via Faciliated Diffusion	csn[e] <=> csn[c] 	Transport, extracellular						MNXR96928
CSPG_At	Chondroitin Sulfate A Transport, Golgi to Extracellular	cspg_a[g] -> cspg_a[e] 	Transport, extracellular						MNXR96930
CSPG_Atly	Chondroitin Sulfate A Transport, Extracellular to Lysosome	cspg_a[e] -> cspg_a[l] 	Transport, lysosomal						MNXR96930
CSPG_Bt	Chondroitin Sulfate B Transport, Golgi to Extracellular	cspg_b[g] -> cspg_b[e] 	Transport, extracellular						MNXR96931
CSPG_Btly	Chondroitin Sulfate B Transport, Extracellular to Lysosome	cspg_b[e] -> cspg_b[l] 	Transport, lysosomal						MNXR96931
CSPG_Ct	Chondroitin Sulfate C Transport, Golgi to Extracellular	cspg_c[g] -> cspg_c[e] 	Transport, extracellular						MNXR96932
CSPG_Ctly	Chondroitin Sulfate C Transport, Extracellular to Lysosome	cspg_c[e] -> cspg_c[l] 	Transport, lysosomal						MNXR96932
CSPG_Dt	Chondroitin Sulfate D Transport, Golgi to Extracellular	cspg_d[g] -> cspg_d[e] 	Transport, extracellular						MNXR96933
CSPG_Dtly	Chondroitin Sulfate D Transport, Extracellular to Lysosome	cspg_d[e] -> cspg_d[l] 	Transport, lysosomal						MNXR96933
CSPG_Et	Chondroitin Sulfate E Transport, Golgi to Extracellular	cspg_e[g] -> cspg_e[e] 	Transport, extracellular						MNXR96934
CSPG_Etly	Chondroitin Sulfate E Transport, Extracellular to Lysosome	cspg_e[e] -> cspg_e[l] 	Transport, lysosomal						MNXR96934
CTPtn	Transport of CTP (Diffusion), Nuclear	ctp[c] <=> ctp[n] 	Transport, nuclear						MNXR96946
CYANt	Transport of Cyanide via Diffusion	cyan[e] <=> cyan[c] 	Transport, extracellular						MNXR96957
CYANtm	Transport of Cyanide via Diffusion, Mitochondrial	cyan[c] <=> cyan[m] 	Transport, mitochondrial						MNXR96957
CYSALANaEx	L-Alanine/L-Cysteine Na-Dependent Exchange (Cys-L In)	ala_L[c] + cys_L[e] + na1[e] -> ala_L[e] + cys_L[c] + na1[c] 	Transport, extracellular						MNXR96987
CYSASNNaEx	L-Cysteine/L-Asparagine Na-Dependent Exchange (Cys-L In)	asn_L[c] + cys_L[e] + na1[e] -> asn_L[e] + cys_L[c] + na1[c] 	Transport, extracellular						MNXR96989
CYSGLNNaEx	L-Cysteine/L-Glutamine Na-Dependent Exchange (Cys-L In)	cys_L[e] + gln_L[c] + na1[e] -> cys_L[c] + gln_L[e] + na1[c] 	Transport, extracellular						MNXR96998
CYSGLTH	Glutathione:Cystine Oxidoreductase	2.0 gthrd[c] + Lcystin[c] <=> 2.0 cys_L[c] + gthox[c] 	Methionine and cysteine metabolism	1.8.4.4	R01113				MNXR96999
CYSGLUexR	L-Cysteine/L-Glutamine Reversible Exchanger	cys_L[e] + gln_L[c] <=> cys_L[c] + gln_L[e] 	Transport, extracellular						MNXR97000
