rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
BAMPPALDOX,beta-Aminopropion aldehyde:NAD+ oxidoreductase,beta-Alanine metabolism,550,1.2.1.36,ALDH1A1; ALDH1A2; ALDH3A2; ALDH7A1; ALDH9A1,"1.00 * Water [c] + 1.00 * beta-Aminopropion aldehyde [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * beta-alanine [c]
ALDH1A1; ALDH1A2; ALDH3A2; ALDH7A1; ALDH9A1",1
BAMPPALDOXm,beta-Aminopropion aldehyde:NAD+ oxidoreductase (m),beta-Alanine metabolism,551,1.5.1.12,ALDH1B1; ALDH2; ALDH4A1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * beta-Aminopropion aldehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * beta-alanine [m]
ALDH1B1; ALDH2; ALDH4A1",1
BBHOX,"4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",Lysine metabolism,552,1.14.11.1,BBOX1,"1.00 * O2 [c] + 1.00 * 2-Oxoglutarate [c] + 1.00 * 4-(trimethylammonio)butanoate [c] --> 1.00 * carbon dioxide [c] + 1.00 * L-Carnitine [c] + 1.00 * Succinate [c]
BBOX1",4
BCDO,beta-Carotene dioxygenase,Vitamin A metabolism,553,1.14.99.36,BCO1,"1.00 * O2 [c] + 1.00 * beta-carotene [c] --> 2.00 * retinal [c]
BCO1",4
BDG2HCGHD,beta-D-Glucosyl-2-coumarinate glucohydrolase,"Stilbene, coumarine and lignin synthesis",554,3.2.1.21,,"1.00 * Water [c] + 1.00 * cis-beta-D-Glucosyl-2-hydroxycinnamate [c] --> 1.00 * proton [c] + 1.00 * cis-2-coumarate [c] + 1.00 * D-glucose [c]
No genes",1
BDHm,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase,Butanoate metabolism,555,1.1.1.30,BDH1,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * (R)-3-hydroxybutyrate [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * acetoacetate [m]
BDH1",4
BDMT_L,GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (liver),N-glycan synthesis,556,2.4.1.142,ALG1,"0.10 * N,N'-Diacetylchitobiosyldiphosphodolichol, human liver homolog [c] + 1.00 * GDP-alpha-D-mannose(2-) [c] --> 1.00 * proton [c] + 1.00 * GDP [c] + 0.10 * beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human liver homolog [c]
ALG1",0
BDMT_U,GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (uterus),N-glycan synthesis,557,2.4.1.142,ALG1,"1.00 * GDP-alpha-D-mannose(2-) [c] + 0.10 * N,N'-Diacetylchitobiosyldiphosphodolichol, human uterine homolog [c] --> 1.00 * proton [c] + 1.00 * GDP [c] + 0.10 * beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, human uterine homolog [c]
ALG1",0
BETALDHxm,"betaine-aldehyde dehydrogenase, mitochondrial","Glycine, serine, alanine and threonine metabolism",558,1.2.1.8,,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * betaine aldehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * glycine betaine [m]
No genes",2
BHBt,(R)-3-Hydroxybutanoate transport via H+ symport,"Transport, extracellular",559,N/A,,"1.00 * proton [e] + 1.00 * (R)-3-hydroxybutyrate [e] --> 1.00 * proton [c] + 1.00 * (R)-3-hydroxybutyrate [c]
No genes",2
BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport,"Transport, mitochondrial",560,N/A,,"1.00 * proton [c] + 1.00 * (R)-3-hydroxybutyrate [c] --> 1.00 * proton [m] + 1.00 * (R)-3-hydroxybutyrate [m]
No genes",4
BHMT,betaine-homocysteine S-methyltransferase,"Glycine, serine, alanine and threonine metabolism",561,2.1.1.5,BHMT; BHMT2,"1.00 * L-homocysteine [c] + 1.00 * glycine betaine [c] --> 1.00 * N,N-dimethylglycine [c] + 1.00 * L-methionine [c]
BHMT; BHMT2",4
BILDGLCURt,bilirubin beta-diglucuronide transport via bicarbonate countertransport,"Transport, extracellular",562,N/A,SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * bis(beta-glucosyluronate)bilirubin [e] --> 1.00 * Bicarbonate [e] + 1.00 * bis(beta-glucosyluronate)bilirubin [c]
SLCO1B2",4
BILDGLCURte,bilirubin beta-diglucuronide transport MDR,"Transport, extracellular",563,N/A,ABCC1; ABCC2; ABCC3,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * bis(beta-glucosyluronate)bilirubin [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * bis(beta-glucosyluronate)bilirubin [e]
ABCC1; ABCC2; ABCC3",2
BILDGLCURtr,glucuronidated compound transport,"Transport, endoplasmic reticular",564,N/A,,"1.00 * bis(beta-glucosyluronate)bilirubin [c] --> 1.00 * bis(beta-glucosyluronate)bilirubin [r]
No genes",2
BILGLCURt,bilirubin monoglucuronide transport via bicarbonate countertransport,"Transport, extracellular",565,N/A,SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * mono(glucosyluronic acid)bilirubin(2-) [e] --> 1.00 * Bicarbonate [e] + 1.00 * mono(glucosyluronic acid)bilirubin(2-) [c]
SLCO1B2",4
BILGLCURte,bilirubin monoglucuronide transport MDR,"Transport, extracellular",566,N/A,ABCC1,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * mono(glucosyluronic acid)bilirubin(2-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * mono(glucosyluronic acid)bilirubin(2-) [e]
ABCC1",2
BILGLCURtr,glucuronidated compound transport,"Transport, endoplasmic reticular",567,N/A,,"1.00 * mono(glucosyluronic acid)bilirubin(2-) [c] --> 1.00 * mono(glucosyluronic acid)bilirubin(2-) [r]
No genes",2
BILIRED,Nad(p)h biliverdin reductase,Heme degradation,568,1.3.1.24,BLVRA; BLVRB,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * biliverdin(2-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * bilirubin(2-) [c]
BLVRA; BLVRB",0
BILIRUBt2,bilirubin transport via bicarbonate countertransport,"Transport, extracellular",569,N/A,SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * bilirubin(2-) [e] --> 1.00 * Bicarbonate [e] + 1.00 * bilirubin(2-) [c]
SLCO1B2",4
BILIRUBtr,"lipid, flip-flop intracellular transport","Transport, endoplasmic reticular",570,N/A,,"1.00 * bilirubin(2-) [c] --> 1.00 * bilirubin(2-) [r]
No genes",2
BIOCYTtn,"biocytin transport, nuclear","Transport, nuclear",571,N/A,,"1.00 * Biocytin [c] --> 1.00 * Biocytin [n]
No genes",2
BMTer_L,"B mannosyltransferase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,572,N/A,PIGB,"0.10 * Dolichyl phosphate D-mannose, human liver homolog [r] + 1.00 * (mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B) [r] --> 0.10 * dolichyl phosphate(2-) [r] + 1.00 * proton [r] + 1.00 * (dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6) [r]
PIGB",4
BMTer_U,"B mannosyltransferase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,573,N/A,PIGB,"1.00 * (mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B) [r] + 0.10 * Dolichyl phosphate D-mannose, human uterine homolog [r] --> 1.00 * proton [r] + 1.00 * (dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6) [r] + 0.10 * dolichyl phosphate(2-) [r]
PIGB",4
BPNT,"3',5'-bisphosphate nucleotidase",Nucleotide interconversion,574,3.1.3.7,BPNT1,"1.00 * Water [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * AMP [c]
BPNT1",4
BPNT2,"3',5'-bisphosphate nucleotidase (paps)",Nucleotide interconversion,575,3.1.3.7,BPNT1,"1.00 * Water [c] + 1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 5'-adenylyl sulfate(2-) [c]
BPNT1",4
BTND1,biotinidase (biotin),Biotin metabolism,576,3.5.1.12,BTD,"1.00 * Water [c] + 1.00 * Biocytin [c] --> 1.00 * L-lysinium(1+) [c] + 1.00 * Biotin [c]
BTD",4
BTND1n,"biotinidase (biotin), nuclear",Biotin metabolism,577,3.5.1.12,BTD,"1.00 * Biocytin [n] + 1.00 * Water [n] --> 1.00 * Biotin [n] + 1.00 * L-lysinium(1+) [n]
BTD",4
BTNDe,"biotinidase (biotin), extracellular",Biotin metabolism,578,3.5.1.12,BTD,"1.00 * Water [e] + 1.00 * Biocytin [e] --> 1.00 * L-lysinium(1+) [e] + 1.00 * Biotin [e]
BTD",4
BTNDm,"biotinidase (biotin), mitochondrial",Biotin metabolism,579,3.5.1.12,BTD,"1.00 * Water [m] + 1.00 * Biocytin [m] --> 1.00 * L-lysinium(1+) [m] + 1.00 * Biotin [m]
BTD",4
BTNPL,holocarboxylase synthestase (biotin protein ligase),Biotin metabolism,580,N/A,HLCS,"1.00 * Apocarboxylase (Lys residue) [c] + 1.00 * Biotinyl-5'-AMP [c] --> 1.00 * proton [c] + 1.00 * AMP [c] + 1.00 * Holocarboxylase (biotin covalent bound to Lys residue of apoC) [c]
HLCS",4
BTNPLm,"holocarboxylase synthestase (biotin protein ligase), mitochondrial",Biotin metabolism,581,N/A,HLCS,"1.00 * Apocarboxylase (Lys residue) [m] + 1.00 * Biotinyl-5'-AMP [m] --> 1.00 * proton [m] + 1.00 * AMP [m] + 1.00 * Holocarboxylase (biotin covalent bound to Lys residue of apoC) [m]
HLCS",4
BTNt2,Biotin reversible transport via proton symport,"Transport, extracellular",582,N/A,SLC16A1,"1.00 * proton [e] + 1.00 * Biotin [e] --> 1.00 * proton [c] + 1.00 * Biotin [c]
SLC16A1",4
BTNt2m,"Biotin reversible transport via proton symport, mitochondria","Transport, mitochondrial",583,N/A,SLC16A1,"1.00 * proton [c] + 1.00 * Biotin [c] --> 1.00 * proton [m] + 1.00 * Biotin [m]
SLC16A1",4
BTNt3i,Biotin transport via sodium symport,"Transport, extracellular",584,N/A,SLC5A6,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * Sodium [e] + 1.00 * Biotin [e] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Sodium [c] + 1.00 * Biotin [c]
SLC5A6",4
BTNt4i,Biotin uptake (antiport),"Transport, extracellular",585,N/A,SLC19A3,"1.00 * proton [c] + 1.00 * Biotin [e] --> 1.00 * proton [e] + 1.00 * Biotin [c]
SLC19A3",4
BTNtn,"Biotin transport, nuclear","Transport, nuclear",586,N/A,,"1.00 * Biotin [c] --> 1.00 * Biotin [n]
No genes",2
BUP2,beta-ureidopropionase (D-3-amino-isobutanoate forming),Pyrimidine catabolism,587,3.5.1.6,UPB1,"1.00 * Water [c] + 2.00 * proton [c] + 1.00 * 3-Ureidoisobutyrate [c] --> 1.00 * Ammonium [c] + 1.00 * carbon dioxide [c] + 1.00 * D-3-Amino-isobutanoate [c]
UPB1",4
BUTt2m,"Butyrate mitochondrial transport via proton symport, reversible","Transport, mitochondrial",588,N/A,SLC16A1,"1.00 * proton [c] + 1.00 * butyrate [c] --> 1.00 * proton [m] + 1.00 * butyrate [m]
SLC16A1",0
BUTt2r,"Butyrate transport via proton symport, reversible","Transport, extracellular",589,N/A,SLC16A1,"1.00 * proton [e] + 1.00 * butyrate [e] --> 1.00 * proton [c] + 1.00 * butyrate [c]
SLC16A1",4
BVITEt,beta-Tocopherol (Vit. E) transport,"Transport, extracellular",590,N/A,,"1.00 * beta-tocopherol [e] --> 1.00 * beta-tocopherol [c]
No genes",2
BZt,benzoate transport (diffusion),"Transport, extracellular",591,N/A,,"1.00 * benzoate [e] --> 1.00 * benzoate [c]
No genes",1
BZtr,"Benzene transporter, endoplasmic reticulum","Transport, endoplasmic reticular",592,N/A,,"1.00 * benzoate [c] --> 1.00 * benzoate [r]
No genes",1
C14STRr,C-14 sterol reductase,Cholesterol metabolism,593,1.3.1.70,TM7SF2,"1.00 * proton [r] + 1.00 * 4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] --> 1.00 * 14-demethyllanosterol [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r]
TM7SF2",4
C160CPT1,production of Palmitoylcarnitine,Fatty acid oxidation,594,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * L-palmitoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4
C160CPT2,C160 transport into the mitochondria,Fatty acid oxidation,595,2.3.1.21,CPT1A; CPT2,"1.00 * Coenzyme A [m] + 1.00 * L-palmitoylcarnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [m]
CPT1A; CPT2",4
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,596,N/A,SLC25A20,"1.00 * L-palmitoylcarnitine [c] --> 1.00 * L-palmitoylcarnitine [m]
SLC25A20",4
C161CPT1,production of palmitoleoylcarnitine,Fatty acid oxidation,597,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * Hexadecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4
C161CPT12,carnitine O-palmitoyltransferase,Fatty acid oxidation,598,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * trans-Hexadec-2-enoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * trans-Hexadec-2-enoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4
C161CPT2,transport of Hexadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,599,N/A,CPT2,"1.00 * Coenzyme A [m] + 1.00 * Hexadecenoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [m]
CPT2",4
C161CPT22,C161 transport into the mitochondria,Fatty acid oxidation,600,2.3.1.21,CPT2,"1.00 * Coenzyme A [m] + 1.00 * trans-Hexadec-2-enoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * trans-Hexadec-2-enoyl-CoA [m]
CPT2",4
C161CRN2t,C161 transport into the mitochondria,Fatty acid oxidation,601,N/A,SLC25A20,"1.00 * trans-Hexadec-2-enoyl carnitine [c] --> 1.00 * trans-Hexadec-2-enoyl carnitine [m]
SLC25A20",4
C161CRNt,C161 transport into the mitochondria,Fatty acid oxidation,602,N/A,SLC25A20,"1.00 * Hexadecenoyl carnitine [c] --> 1.00 * Hexadecenoyl carnitine [m]
SLC25A20",4
C180CPT1,production of stearoylcarnitine,Fatty acid oxidation,603,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * stearoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4
C180CPT2,carnitine O-stearoyl transferase,Fatty acid oxidation,604,2.3.1.21,CPT2,"1.00 * Coenzyme A [m] + 1.00 * stearoylcarnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [m]
CPT2",4
C180CRNt,C180 transport into the mitochondria,Fatty acid oxidation,605,N/A,SLC25A20,"1.00 * stearoylcarnitine [c] --> 1.00 * stearoylcarnitine [m]
SLC25A20",4
C181CPT1,transport of Octadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,606,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * octadecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4
C181CPT2,transport of Octadecenoyl-CoA into mitochondrial matrix,Fatty acid oxidation,607,N/A,CPT2,"1.00 * Coenzyme A [m] + 1.00 * octadecenoyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [m]
CPT2",4
C181CRNt,C181 transport into the mitochondria,Fatty acid oxidation,608,N/A,SLC25A20,"1.00 * octadecenoyl carnitine [c] --> 1.00 * octadecenoyl carnitine [m]
SLC25A20",4
C204CPT1,carnitine C20:4 transferase,Fatty acid oxidation,609,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * arachidonoyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * C20:4 carnitine [c]
CPT1A; CPT1B; CPT1C",4
C204CPT2,arachidonic acid transport into the mitochondria,Fatty acid oxidation,610,N/A,CPT2,"1.00 * Coenzyme A [m] + 1.00 * C20:4 carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * arachidonoyl-CoA(4-) [m]
CPT2",4
C204CRNt,arachidonic acid transport into the mitochondria,Fatty acid oxidation,611,N/A,SLC25A20,"1.00 * C20:4 carnitine [c] --> 1.00 * C20:4 carnitine [m]
SLC25A20",4
C226COAtx,fatty acid intracellular transport,"Transport, peroxisomal",612,N/A,,"1.00 * cervonyl coenzyme A [c] --> 1.00 * cervonyl coenzyme A [x]
No genes",2
C226CPT1,carnitine C22:6 transferase,Fatty acid oxidation,613,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * cervonyl coenzyme A [c] --> 1.00 * Coenzyme A [c] + 1.00 * cervonyl carnitine [c]
CPT1A; CPT1B; CPT1C",4
C226CPT2,C226 transport into the mitochondria,Fatty acid oxidation,614,N/A,CPT2,"1.00 * Coenzyme A [m] + 1.00 * cervonyl carnitine [m] --> 1.00 * L-Carnitine [m] + 1.00 * cervonyl coenzyme A [m]
CPT2",4
C226CRNt,C226 transport into the mitochondria,Fatty acid oxidation,615,N/A,,"1.00 * cervonyl carnitine [c] --> 1.00 * cervonyl carnitine [m]
No genes",4
C2M26DCOAHLm,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (m)",Limonene and pinene degradation,616,4.2.1.17,AUH; HADHA; HADHB,"1.00 * Water [m] + 1.00 * cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA [m] --> 1.00 * 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA [m]
AUH; HADHA; HADHB",1
C2M26DCOAHLx,"cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase (x)",Limonene and pinene degradation,617,4.2.1.17,ECH1; EHHADH,"1.00 * Water [x] + 1.00 * cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA [x] --> 1.00 * 3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA [x]
ECH1; EHHADH",1
C3STDH1Pr,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol metabolism,618,N/A,NSDHL,"1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 4-Methylzymosterol intermediate 1 [r] --> 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * 4-Methylzymosterol intermediate 2 [r] + 1.00 * carbon dioxide [r]
NSDHL",4
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol metabolism,619,N/A,NSDHL,"1.00 * 4-Methylzymosterol intermediate 1 [r] + 1.00 * Nicotinamide adenine dinucleotide [r] --> 1.00 * proton [r] + 1.00 * 4-Methylzymosterol intermediate 2 [r] + 1.00 * carbon dioxide [r] + 1.00 * Nicotinamide adenine dinucleotide - reduced [r]
NSDHL",4
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol metabolism,620,N/A,HSD17B4,"1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * zymosterol intermediate 2 [r] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * zymosterol [r]
HSD17B4",4
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol metabolism,621,N/A,MSMO1,"3.00 * O2 [r] + 3.00 * proton [r] + 3.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * 14-demethyllanosterol [r] --> 4.00 * Water [r] + 3.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 4-Methylzymosterol intermediate 1 [r]
MSMO1",4
C4STMO2Pr,C-4 methyl sterol oxidase,Cholesterol metabolism,622,N/A,NSDHL,"1.00 * O2 [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 4-Methylzymosterol intermediate 2 [r] --> 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * carbon dioxide [r] + 1.00 * zymosterol intermediate 2 [r]
NSDHL",4
C4STMO2r,C-4 methyl sterol oxidase,Cholesterol metabolism,623,N/A,MSMO1; NSDHL,"1.00 * O2 [r] + 1.00 * 4-Methylzymosterol intermediate 2 [r] + 1.00 * Nicotinamide adenine dinucleotide [r] --> 1.00 * proton [r] + 1.00 * carbon dioxide [r] + 1.00 * Nicotinamide adenine dinucleotide - reduced [r] + 1.00 * zymosterol intermediate 2 [r]
MSMO1; NSDHL",4
CAATPS,Ca ATPase,"Transport, extracellular",624,3.6.3.6,ATP2B1; ATP2B2; ATP2B3; ATP2B4,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * calcium(2+) [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * proton [e] + 1.00 * calcium(2+) [e]
ATP2B1; ATP2B2; ATP2B3; ATP2B4",4
CAMPt,cAMP transport (ATP-dependent),"Transport, extracellular",625,N/A,ABCC4; ABCC5,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * 3',5'-cyclic AMP(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * 3',5'-cyclic AMP(1-) [e]
ABCC4; ABCC5",4
CAROtr,beta-carotene transport via diffusion,"Transport, extracellular",626,N/A,,"1.00 * beta-carotene [e] --> 1.00 * beta-carotene [c]
No genes",2
CARVEOLte,xenobiotic transport,"Transport, extracellular",627,N/A,,"1.00 * (-)-trans-carveol [e] --> 1.00 * (-)-trans-carveol [c]
No genes",1
CAT2p,"catalase A, peroxisomal (ethanol)",Glycolysis/gluconeogenesis,628,1.11.1.6,CAT,"1.00 * Hydrogen peroxide [x] + 1.00 * ethanol [x] --> 1.00 * acetaldehyde [x] + 2.00 * Water [x]
CAT",2
CAt7r,"calcium / sodium antiporter (1:3), reversible","Transport, extracellular",629,N/A,SLC8A1; SLC8A2; SLC8A3,"3.00 * Sodium [e] + 1.00 * calcium(2+) [c] --> 3.00 * Sodium [c] + 1.00 * calcium(2+) [e]
SLC8A1; SLC8A2; SLC8A3",4
CATm,catalase,ROS detoxification,630,1.11.1.6,CAT,"2.00 * Hydrogen peroxide [m] --> 1.00 * O2 [m] + 2.00 * Water [m]
CAT",4
CATp,"catalase A, peroxisomal",Miscellaneous,631,1.11.1.6,CAT,"2.00 * Hydrogen peroxide [x] --> 1.00 * O2 [x] + 2.00 * Water [x]
CAT",0
CBL2OR,NADH:cob(III)alamine oxidoreductase,Vitamin B12 metabolism,632,N/A,,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 2.00 * Aquacob(III)alamin [c] --> 2.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 2.00 * Cob(II)alamin [c]
No genes",2
CBL2tm,"Cob(II)alamine transport, mitochondrial","Transport, mitochondrial",633,N/A,MMAA,"1.00 * Cob(II)alamin [c] --> 1.00 * Cob(II)alamin [m]
MMAA",2
CBLATm,"cob(I)alamin adenosyltransferase, mitochondrial",Vitamin B12 metabolism,634,2.5.1.17,MMAA,"1.00 * proton [m] + 1.00 * ATP [m] + 1.00 * Cob(I)alamin [m] --> 1.00 * Adenosylcobalamin [m] + 1.00 * triphosphate(5-) [m]
MMAA",4
CBPPer,"Carbamoyl phosphate phosphotransferase, endoplasmic reticulum",Glycolysis/gluconeogenesis,635,N/A,G6PC; G6PC2; G6PC3,"1.00 * proton [r] + 1.00 * Carbamoyl phosphate [r] + 1.00 * D-glucose [r] --> 1.00 * carbon dioxide [r] + 1.00 * D-Glucose 6-phosphate [r] + 1.00 * Ammonium [r]
G6PC; G6PC2; G6PC3",2
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine synthesis,636,N/A,CAD,"1.00 * Water [c] + 2.00 * ATP [c] + 1.00 * Bicarbonate [c] + 1.00 * L-glutamine [c] --> 2.00 * ADP [c] + 2.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * L-glutamate(1-) [c] + 1.00 * Carbamoyl phosphate [c]
CAD",4
CBPSam,carbamoyl-phosphate synthase (ammonia) (mitochondria,Glutamate metabolism,637,6.3.4.16,CPS1,"2.00 * ATP [m] + 1.00 * Bicarbonate [m] + 1.00 * Ammonium [m] --> 2.00 * proton [m] + 2.00 * ADP [m] + 1.00 * hydrogenphosphate [m] + 1.00 * Carbamoyl phosphate [m]
CPS1",4
CBPter,"carbamoyl phosphate transport, endoplasmic reticulum","Transport, endoplasmic reticular",638,N/A,,"1.00 * hydrogenphosphate [c] + 1.00 * Diphosphate [c] + 1.00 * Carbamoyl phosphate [c] --> 1.00 * Carbamoyl phosphate [r] + 1.00 * hydrogenphosphate [r] + 1.00 * Diphosphate [r]
No genes",2
CBR1,Carbonyl reductase [NADPH] 1,Eicosanoid metabolism,639,1.1.1.197,CBR1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 15-dehydro-prostaglandin E1(1-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin E1(1-) [c]
CBR1",4
CBR2,Carbonyl reductase [NADPH] 1,Eicosanoid metabolism,640,1.1.1.197,CBR1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * prostaglandin E2(1-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin F2alpha(1-) [c]
CBR1",4
CCA_D3t,Calcitroic acid transport from cytosol,"Transport, extracellular",641,N/A,,"1.00 * Calcitroic acid (D3) [c] --> 1.00 * Calcitroic acid (D3) [e]
No genes",2
